CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	6	41	0.8971	0.000	0	0.19944624658644947	Pre-P:Post-P	1.0	6	5
5	649	41	0.9108	3.446	1	2.593993192678233	Post-HV:Pre-P	-1.0	5	649
5	77	41	0.6542	-10.990	2	1.2454978429816035	Post-HV:Pre-P	-1.0	5	77
6	649	41	0.9152	3.446	3	2.429373467075243	Post-HV:Pre-P	-1.0	6	649
6	77	41	0.6517	-10.990	4	1.0808781173786133	Post-HV:Pre-P	-1.0	6	77
11	13	18	0.8445	0.001	5	2.637502457755198	Pre-HV:Post-HV	-1.0	11	13
14	117	3	0.7998	-0.000	6	0.24058749442553834	Post-P:BD	1.0	117	14
14	692	3	0.8105	-0.001	7	0.25042978119587556	Pre-HV:Post-HV	-1.0	14	692
15	174	73	0.691	-15.995	8	0.07264170211365338	Pre-HV:Post-HV	-1.0	15	174
18	116	32	0.7567	-3.008	9	1.1050818871244426	Post-HV:Pre-P	-1.0	18	116
18	129	32	0.7224	-3.008	10	1.0603650262272701	Post-HV:Pre-P	-1.0	18	129
18	20	32	0.7673	-0.000	11	0.26061742155268636	Pre-P:Post-P	1.0	20	18
19	144	17	0.985	-26.015	12	0.13716282447361977	Pre-HV:Post-HV	1.0	144	19
19	25	17	0.9862	-24.000	13	0.15108324678291377	Pre-HV:Post-HV	1.0	25	19
19	35	17	0.9872	-26.016	14	0.07539246978908097	Post-P:BD	-1.0	19	35
19	46	17	0.9901	-28.031	15	0.08438292769632894	Post-HV:Pre-P	1.0	46	19
19	615	17	0.9772	-50.015	16	0.1562884713931062	Post-P:BD	-1.0	19	615
19	617	17	0.9889	2.016	17	0.21370813179531564	Post-P:BD	-1.0	19	617
19	652	17	0.9185	2.017	18	0.07771117541880088	Post-HV:Pre-P	-1.0	19	652
19	657	17	0.9225	-21.983	19	0.16591578900519408	Pre-HV:Post-HV	1.0	657	19
20	116	32	0.7062	-3.008	20	0.8707071844608201	Post-HV:Pre-P	-1.0	20	116
20	129	32	0.7389	-3.008	21	0.8259903235636477	Post-HV:Pre-P	-1.0	20	129
25	144	17	0.9936	-2.016	22	0.14068145110207245	Pre-P:Post-P	1.0	144	25
25	35	17	0.9967	-2.016	23	0.16741157486382646	Pre-HV:Post-HV	-1.0	25	35
25	46	17	0.996	-4.032	24	0.17207507833388455	Post-P:BD	1.0	46	25
25	615	17	0.9851	-26.015	25	0.11676297878771538	Pre-P:Post-P	1.0	615	25
25	617	17	0.9816	26.016	26	0.17391273489851558	Pre-HV:Post-HV	-1.0	25	617
25	652	17	0.9102	26.017	27	0.17570052401180303	Pre-HV:Post-HV	-1.0	25	652
25	657	17	0.9136	2.016	28	0.21672556686191463	Post-P:BD	1.0	657	25
28	193	35	0.9802	-24.000	29	0.9952043000962749	Pre-P:Post-P	-1.0	28	193
28	217	35	0.9784	-0.000	30	0.36261091558169767	Pre-P:Post-P	1.0	217	28
28	331	35	0.9802	-23.999	31	0.888736558501779	Post-HV:Pre-P	1.0	331	28
28	362	35	0.9784	-0.000	32	0.41072458803560835	Pre-P:Post-P	1.0	362	28
28	406	35	0.9755	-23.999	33	0.43542989348887373	Post-P:BD	-1.0	28	406
28	755	35	0.9775	0.000	34	0.46047813882249267	Pre-HV:Post-HV	-1.0	28	755
29	193	35	0.9781	-24.000	35	1.136295381763912	Pre-P:Post-P	-1.0	29	193
29	331	35	0.9789	-23.999	36	0.6823051445567091	Pre-P:Post-P	-1.0	29	331
29	406	35	0.9758	-23.999	37	0.7411452401749548	Pre-HV:Post-HV	1.0	406	29
29	501	35	0.9794	28.031	38	0.70678284099878	Post-P:BD	1.0	501	29
29	505	35	0.976	28.032	39	0.6563456144199467	Post-HV:Pre-P	-1.0	29	505
29	506	35	0.9796	28.032	40	0.6636405160084728	Post-HV:Pre-P	-1.0	29	506
29	554	35	0.9755	28.031	41	0.7453101481963882	Post-HV:Pre-P	-1.0	29	554
29	555	35	0.9755	28.031	42	0.5485541359343632	Post-HV:Pre-P	-1.0	29	555
29	697	35	0.9819	-0.001	43	0.4468929342985819	Post-HV:Pre-P	-1.0	29	697
30	480	9	0.6995	-1.746	44	0.16387072181761386	Post-HV:Pre-P	1.0	480	30
30	84	9	0.716	-28.031	45	0.23528127315012803	Pre-HV:Post-HV	-1.0	30	84
33	190	35	0.9715	-24.000	46	1.8627688902941535	Post-HV:Pre-P	-1.0	33	190
33	501	35	0.9756	28.031	47	0.28829421209243455	Post-P:BD	1.0	501	33
33	505	35	0.976	28.032	48	0.40454123549374804	Post-HV:Pre-P	-1.0	33	505
33	755	35	0.9765	0.000	49	0.14488748532577428	Pre-P:Post-P	1.0	755	33
34	80	87	0.7838	-59.038	50	0.01606607627742944	Pre-P:Post-P	-1.0	34	80
35	144	17	0.9941	0.000	51	0.1534911525545326	Pre-HV:Post-HV	1.0	144	35
35	46	17	0.9961	-2.016	52	0.1505764865282477	Post-P:BD	1.0	46	35
35	615	17	0.9833	-24.000	53	0.08089600160402535	Post-P:BD	-1.0	35	615
35	617	17	0.9817	28.032	54	0.13831566200623474	Post-P:BD	-1.0	35	617
35	652	17	0.917	28.033	55	0.08962951212251583	Post-HV:Pre-P	-1.0	35	652
35	657	17	0.9133	4.032	56	0.19522697505627779	Post-P:BD	1.0	657	35
36	188	25	0.839	0.000	57	0.5524839767454661	Post-P:BD	1.0	188	36
36	254	25	0.8296	0.000	58	0.18989245676520322	Post-HV:Pre-P	1.0	254	36
36	398	25	0.8325	0.000	59	0.2657756025584957	Post-HV:Pre-P	-1.0	36	398
36	399	25	0.8613	-0.000	60	0.20148739039097296	Pre-HV:Post-HV	1.0	399	36
36	400	25	0.8108	-0.000	61	0.23359816566339012	Pre-HV:Post-HV	1.0	400	36
36	401	25	0.8218	-0.000	62	0.2601296457035461	Post-HV:Pre-P	1.0	401	36
36	62	25	0.8199	-0.000	63	0.11013505805067697	Post-P:BD	1.0	62	36
36	679	25	0.8245	-0.000	64	0.09045771624918045	Pre-P:Post-P	-1.0	36	679
36	699	25	0.8613	-0.000	65	0.30934395126865677	Pre-HV:Post-HV	1.0	699	36
36	777	25	0.8198	0.000	66	0.13482166871133963	Pre-HV:Post-HV	1.0	777	36
37	255	24	0.9113	0.000	67	0.21013202302759015	Post-HV:Pre-P	-1.0	37	255
37	273	24	0.8886	-0.000	68	0.40159578541625013	Post-P:BD	-1.0	37	273
