CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
25	615	1	0.9851	-26.015
25	35	1	0.9967	-2.016
35	652	1	0.917	28.033
617	652	1	0.93	0.000
25	144	1	0.9936	-2.016
25	46	1	0.996	-4.032
46	652	1	0.9111	30.048
615	657	1	0.9281	28.032
19	615	1	0.9772	-50.015
617	657	1	0.9298	-24.000
144	615	1	0.9814	-24.000
19	144	1	0.985	-26.015
46	617	1	0.9826	30.048
19	35	1	0.9872	-26.016
46	144	1	0.995	2.016
19	657	1	0.9225	-21.983
652	657	1	0.9161	-24.000
19	652	1	0.9185	2.017
25	652	1	0.9102	26.017
35	46	1	0.9961	-2.016
19	46	1	0.9901	-28.031
46	615	1	0.984	-21.984
46	657	1	0.9172	6.048
25	657	1	0.9136	2.016
144	657	1	0.9132	4.032
19	617	1	0.9889	2.016
25	617	1	0.9816	26.016
144	617	1	0.9817	28.032
19	25	1	0.9862	-24.000
35	657	1	0.9133	4.032
35	615	1	0.9833	-24.000
615	652	1	0.921	52.032
615	617	1	0.9793	52.032
144	652	1	0.9118	28.032
35	144	1	0.9941	0.000
35	617	1	0.9817	28.032
442	670	2	1.0	0.000
126	317	2	0.8987	0.000
126	473	2	0.8803	2.014
682	763	2	0.9128	58.041
288	682	2	0.9117	-58.042
97	256	2	0.8963	0.000
189	763	2	0.9158	-0.000
74	288	2	0.9209	58.041
472	475	2	0.8809	2.014
240	479	2	0.889	-58.042
344	764	2	0.9252	-58.041
87	422	2	0.9191	-0.000
475	478	2	0.8857	-58.041
288	344	2	0.9464	0.000
288	772	2	0.9117	-58.042
471	570	2	0.8851	58.042
472	774	2	0.8814	-56.026
763	772	2	0.9128	-58.041
256	572	2	0.8971	-0.000
53	405	2	0.8795	-0.000
317	476	2	0.8903	2.013
317	470	2	0.9043	-0.001
74	344	2	0.9228	58.041
409	410	2	0.9118	0.000
471	476	2	0.8906	2.014
256	447	2	0.9022	-0.001
478	581	2	0.8918	0.001
405	557	2	1.0	0.000
344	763	2	0.9177	-0.000
409	764	2	0.9221	-58.041
472	479	2	0.9097	-56.027
344	411	2	0.9216	0.000
97	703	2	0.8787	-0.000
132	581	2	0.8918	-0.000
103	347	2	0.8955	-0.000
469	581	2	0.89	-56.026
71	189	2	0.9356	0.000
71	410	2	0.9157	-0.000
471	475	2	0.8927	2.015
476	478	2	0.886	-58.041
404	405	2	0.888	0.000
189	411	2	0.9282	0.000
479	484	2	0.8847	15.999
441	670	2	0.8962	0.000
420	772	2	1.0	-0.000
469	472	2	1.0	0.000
240	715	2	0.8861	-2.015
240	476	2	0.886	-0.001
479	774	2	0.8883	0.001
71	772	2	0.9117	-58.042
444	758	2	0.8786	0.000
71	288	2	1.0	-0.000
47	764	2	0.9042	-58.041
411	764	2	0.9042	-58.041
189	673	2	0.8895	-14.016
240	471	2	0.8971	-2.015
95	268	2	0.8782	-0.000
93	446	2	0.8898	-0.001
103	682	2	0.9188	56.026
74	763	2	0.9204	58.041
103	267	2	0.8826	56.026
189	409	2	0.9516	-0.000
93	267	2	0.8784	15.995
79	573	2	0.8817	-0.000
478	482	2	0.8893	0.000
470	475	2	0.8927	2.015
446	475	2	0.8812	-56.027
74	463	2	0.9077	-56.027
74	420	2	0.9068	-0.000
87	267	2	0.8964	-0.000
47	189	2	0.9282	0.000
447	572	2	0.8913	0.000
93	757	2	0.8796	-0.001
470	484	2	0.8897	-40.027
97	673	2	0.8874	-0.001
95	466	2	0.9084	-0.001
103	463	2	0.8803	-0.000
317	471	2	0.9043	-0.001
71	411	2	0.9121	0.000
189	288	2	0.9356	-0.000
47	87	2	0.9147	-58.041
103	772	2	0.9188	56.026
132	469	2	0.8869	56.026
240	470	2	0.8971	-2.015
469	479	2	0.9097	-56.027
571	758	2	0.8833	-0.001
683	758	2	0.8817	0.000
132	478	2	0.8976	-0.001
79	572	2	0.9107	-0.000
405	560	2	0.888	-0.000
47	71	2	0.9121	0.000
133	479	2	0.8845	-15.999
74	409	2	0.9208	58.041
478	688	2	0.886	58.041
87	764	2	0.891	-0.000
206	573	2	0.8801	0.000
87	404	2	0.8898	74.036
470	476	2	0.8906	2.014
673	763	2	0.9072	14.015
581	774	2	0.8858	0.000
409	763	2	0.9193	0.000
470	687	2	0.8804	2.014
444	469	2	0.8835	-58.041
317	687	2	0.8986	2.013
95	577	2	0.8812	-0.000
344	410	2	0.9257	-0.000
189	410	2	0.9256	-0.000
114	758	2	0.8845	-0.001
53	559	2	0.878	-0.000
47	344	2	0.9216	0.000
472	478	2	0.903	-56.027
392	557	2	0.8957	0.000
472	581	2	0.89	-56.026
471	688	2	0.8906	2.014
198	764	2	0.8895	0.000
409	411	2	0.9135	0.000
557	560	2	0.888	-0.000
478	479	2	0.9056	0.000
444	472	2	0.8835	-58.040
446	683	2	0.8914	-0.000
441	442	2	0.8962	0.000
240	475	2	0.8853	-0.001
469	475	2	0.8809	2.014
478	774	2	0.8845	0.001
71	409	2	0.9524	-0.000
288	420	2	0.9117	-58.041
317	688	2	0.8903	2.013
466	475	2	0.8842	-15.996
288	411	2	0.9121	0.000
53	557	2	0.8795	0.000
475	688	2	0.8833	-0.000
479	581	2	0.9061	0.001
87	411	2	0.9147	58.041
267	441	2	0.8834	15.996
95	103	2	0.8943	-0.000
468	687	2	0.8838	2.014
682	772	2	1.0	0.000
573	703	2	0.881	-0.000
71	74	2	0.9209	-58.041
87	198	2	0.9024	-0.000
470	688	2	0.8906	2.014
344	409	2	0.9753	-0.000
256	673	2	0.9078	-0.001
47	409	2	0.9135	-0.000
132	774	2	0.9028	-0.000
240	469	2	0.8897	-2.015
93	472	2	0.8819	-58.041
404	560	2	1.0	0.000
475	476	2	0.8833	-0.000
240	472	2	0.8897	-2.014
71	682	2	0.9117	-58.042
404	557	2	0.888	0.000
444	446	2	0.8936	0.000
420	682	2	1.0	-0.000
95	463	2	0.8892	-0.000
476	688	2	1.0	0.000
444	757	2	0.9016	-0.000
47	411	2	1.0	0.000
471	687	2	0.8804	2.014
132	479	2	0.9081	-0.001
570	758	2	0.8961	-0.000
471	484	2	0.8897	-40.027
470	471	2	1.0	0.000
463	466	2	0.8931	-0.000
470	570	2	0.8851	58.042
267	711	2	0.8943	15.996
132	475	2	0.8885	58.040
71	420	2	0.9117	-58.042
87	560	2	0.8898	74.036
95	118	2	0.8921	-0.000
469	478	2	0.903	-56.027
392	405	2	0.8957	-0.000
47	288	2	0.9121	-0.000
71	344	2	0.9464	0.000
470	758	2	0.8812	58.041
420	764	2	0.8859	0.000
133	483	2	0.8954	-0.001
420	763	2	0.9128	58.041
103	420	2	0.9188	56.026
107	441	2	0.878	-0.000
764	772	2	0.8859	-0.000
109	446	2	0.887	56.026
74	189	2	0.9211	58.041
74	772	2	0.9068	-0.000
682	764	2	0.8859	0.000
132	472	2	0.8869	56.026
240	688	2	0.886	-0.001
