CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	0.1504152266270343	Pre-HV:Post-HV	1.0	649	5
5	6	5	0.8971	0.000	1	0.06284071537674497	Pre-HV:Post-HV	-1.0	5	6
5	77	5	0.6542	-10.990	2	0.048857013598365195	Pre-HV:Post-HV	-1.0	5	77
6	649	5	0.9152	3.446	3	0.21325594200377926	Pre-HV:Post-HV	1.0	649	6
6	77	5	0.6517	-10.990	4	0.013983701778379714	Pre-HV:Post-HV	1.0	77	6
11	13	116	0.8445	0.001	5	3.4054987182164362	Pre-HV:Post-HV	1.0	13	11
14	117	50	0.7998	-0.000	6	0.07770105582775809	Pre-HV:Post-HV	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.2631351297172875	Pre-HV:Post-HV	-1.0	14	692
15	174	39	0.691	-15.995	8	0.12372260416591806	Pre-HV:Post-HV	1.0	174	15
18	116	15	0.7567	-3.008	9	0.10567626215659251	Pre-HV:Post-HV	1.0	116	18
18	129	15	0.7224	-3.008	10	0.25438159746767797	Pre-HV:Post-HV	1.0	129	18
18	20	15	0.7673	-0.000	11	0.1223664663412707	Pre-HV:Post-HV	1.0	20	18
19	144	1	0.985	-26.015	12	0.25826152371488736	Pre-HV:Post-HV	1.0	144	19
19	25	1	0.9862	-24.000	13	0.3564782889045507	Pre-HV:Post-HV	1.0	25	19
19	35	1	0.9872	-26.016	14	0.07056953268433191	Pre-HV:Post-HV	1.0	35	19
19	46	1	0.9901	-28.031	15	0.04371012899964341	Pre-HV:Post-HV	1.0	46	19
19	615	1	0.9772	-50.015	16	0.007907155618539342	Pre-HV:Post-HV	1.0	615	19
19	617	1	0.9889	2.016	17	0.02089568097737876	Pre-HV:Post-HV	-1.0	19	617
19	652	1	0.9185	2.017	18	0.029152209627379716	Pre-HV:Post-HV	-1.0	19	652
19	657	1	0.9225	-21.983	19	0.06541523793454988	Pre-HV:Post-HV	1.0	657	19
20	116	15	0.7062	-3.008	20	0.016690204184678235	Pre-HV:Post-HV	-1.0	20	116
20	129	15	0.7389	-3.008	21	0.13201513112640728	Pre-HV:Post-HV	1.0	129	20
25	144	1	0.9936	-2.016	22	0.09821676518966341	Pre-HV:Post-HV	-1.0	25	144
25	35	1	0.9967	-2.016	23	0.2859087562202188	Pre-HV:Post-HV	-1.0	25	35
25	46	1	0.996	-4.032	24	0.31276815990490725	Pre-HV:Post-HV	-1.0	25	46
25	615	1	0.9851	-26.015	25	0.3485711332860113	Pre-HV:Post-HV	-1.0	25	615
25	617	1	0.9816	26.016	26	0.37737396988192945	Pre-HV:Post-HV	-1.0	25	617
25	652	1	0.9102	26.017	27	0.38563049853193043	Pre-HV:Post-HV	-1.0	25	652
25	657	1	0.9136	2.016	28	0.29106305097000074	Pre-HV:Post-HV	-1.0	25	657
28	193	4	0.9802	-24.000	29	0.44913293381842656	Pre-HV:Post-HV	-1.0	28	193
28	217	4	0.9784	-0.000	30	0.09139274746233916	Pre-HV:Post-HV	-1.0	28	217
28	331	4	0.9802	-23.999	31	0.46774418816555596	Pre-HV:Post-HV	-1.0	28	331
28	362	4	0.9784	-0.000	32	0.4768504383826289	Pre-HV:Post-HV	-1.0	28	362
28	406	4	0.9755	-23.999	33	0.11542236955209972	Pre-HV:Post-HV	-1.0	28	406
28	755	4	0.9775	0.000	34	0.26737643092702523	Pre-HV:Post-HV	-1.0	28	755
