CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	2.503215181961751	Pre-P:Post-P	1.0	649	5
5	6	5	0.8971	0.000	1	0.19944624658644947	Pre-P:Post-P	1.0	6	5
5	77	5	0.6542	-10.990	2	1.2399612819557166	Pre-P:Post-P	1.0	77	5
6	649	5	0.9152	3.446	3	2.3037689353753015	Pre-P:Post-P	1.0	649	6
6	77	5	0.6517	-10.990	4	1.0405150353692671	Pre-P:Post-P	1.0	77	6
11	13	116	0.8445	0.001	5	0.3041873703333304	Pre-P:Post-P	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.10901297969372664	Pre-P:Post-P	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.04288268488935702	Pre-P:Post-P	1.0	692	14
15	174	39	0.691	-15.995	8	0.00654911549901337	Pre-P:Post-P	1.0	174	15
18	116	15	0.7567	-3.008	9	1.0887083625930596	Pre-P:Post-P	1.0	116	18
18	129	15	0.7224	-3.008	10	0.9649925805798375	Pre-P:Post-P	1.0	129	18
18	20	15	0.7673	-0.000	11	0.26061742155268636	Pre-P:Post-P	1.0	20	18
19	144	1	0.985	-26.015	12	0.04070405606992003	Pre-P:Post-P	1.0	144	19
19	25	1	0.9862	-24.000	13	0.09997739503215235	Pre-P:Post-P	-1.0	19	25
19	35	1	0.9872	-26.016	14	0.015022254390241624	Pre-P:Post-P	1.0	35	19
19	46	1	0.9901	-28.031	15	0.00756715895714779	Pre-P:Post-P	1.0	46	19
19	615	1	0.9772	-50.015	16	0.016785583755563084	Pre-P:Post-P	1.0	615	19
19	617	1	0.9889	2.016	17	0.010647857480195663	Pre-P:Post-P	-1.0	19	617
19	652	1	0.9185	2.017	18	0.06698162795361894	Pre-P:Post-P	-1.0	19	652
19	657	1	0.9225	-21.983	19	0.033353258601749015	Pre-P:Post-P	-1.0	19	657
20	116	15	0.7062	-3.008	20	0.8280909410403734	Pre-P:Post-P	1.0	116	20
20	129	15	0.7389	-3.008	21	0.7043751590271512	Pre-P:Post-P	1.0	129	20
