CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	0.08915090244306775	Pre-HV:Post-HV	1.0	649	5
5	6	5	0.8971	0.000	1	0.019346147980461033	Pre-HV:Post-HV	-1.0	5	6
5	77	5	0.6542	-10.990	2	0.210758753261683	Pre-HV:Post-HV	1.0	77	5
6	649	5	0.9152	3.446	3	0.10849705042352871	Pre-HV:Post-HV	1.0	649	6
6	77	5	0.6517	-10.990	4	0.23010490124214394	Pre-HV:Post-HV	1.0	77	6
11	13	116	0.8445	0.001	5	2.6345330852421016	Pre-HV:Post-HV	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.06955806079113203	Pre-HV:Post-HV	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.542287138859606	Pre-HV:Post-HV	-1.0	14	692
15	174	39	0.691	-15.995	8	0.16632859359756197	Pre-HV:Post-HV	-1.0	15	174
18	116	15	0.7567	-3.008	9	0.01964499971818963	Pre-HV:Post-HV	-1.0	18	116
18	129	15	0.7224	-3.008	10	0.28254919344771234	Pre-HV:Post-HV	1.0	129	18
18	20	15	0.7673	-0.000	11	0.15508196004137637	Pre-HV:Post-HV	-1.0	18	20
19	144	1	0.985	-26.015	12	0.3814880164748342	Pre-HV:Post-HV	1.0	144	19
19	25	1	0.9862	-24.000	13	0.2841932110819217	Pre-HV:Post-HV	1.0	25	19
19	35	1	0.9872	-26.016	14	0.10060895545009811	Pre-HV:Post-HV	1.0	35	19
19	46	1	0.9901	-28.031	15	0.1741850164654373	Pre-HV:Post-HV	1.0	46	19
19	615	1	0.9772	-50.015	16	0.15957508709740614	Pre-HV:Post-HV	1.0	615	19
19	617	1	0.9889	2.016	17	0.17669335189712773	Pre-HV:Post-HV	-1.0	19	617
19	652	1	0.9185	2.017	18	0.08511935240724801	Pre-HV:Post-HV	1.0	652	19
19	657	1	0.9225	-21.983	19	0.304976762547467	Pre-HV:Post-HV	1.0	657	19
20	116	15	0.7062	-3.008	20	0.13543696032318678	Pre-HV:Post-HV	1.0	116	20
20	129	15	0.7389	-3.008	21	0.4376311534890889	Pre-HV:Post-HV	1.0	129	20
25	144	1	0.9936	-2.016	22	0.09729480539291253	Pre-HV:Post-HV	1.0	144	25
25	35	1	0.9967	-2.016	23	0.18358425563182354	Pre-HV:Post-HV	-1.0	25	35
25	46	1	0.996	-4.032	24	0.11000819461648445	Pre-HV:Post-HV	-1.0	25	46
25	615	1	0.9851	-26.015	25	0.12461812398451545	Pre-HV:Post-HV	-1.0	25	615
25	617	1	0.9816	26.016	26	0.4608865629790495	Pre-HV:Post-HV	-1.0	25	617
25	652	1	0.9102	26.017	27	0.1990738586746737	Pre-HV:Post-HV	-1.0	25	652
25	657	1	0.9136	2.016	28	0.0207835514655453	Pre-HV:Post-HV	1.0	657	25
28	193	4	0.9802	-24.000	29	1.150082618036943	Pre-HV:Post-HV	1.0	193	28
28	217	4	0.9784	-0.000	30	0.4399099156203715	Pre-HV:Post-HV	-1.0	28	217
28	331	4	0.9802	-23.999	31	1.5148039979294945	Pre-HV:Post-HV	-1.0	28	331
28	362	4	0.9784	-0.000	32	0.2547024640807582	Pre-HV:Post-HV	-1.0	28	362
28	406	4	0.9755	-23.999	33	0.6653137284400441	Pre-HV:Post-HV	1.0	406	28
28	755	4	0.9775	0.000	34	0.43957564424621554	Pre-HV:Post-HV	-1.0	28	755
29	193	4	0.9781	-24.000	35	1.5191012987398935	Pre-HV:Post-HV	1.0	193	29
29	331	4	0.9789	-23.999	36	1.1457853172265442	Pre-HV:Post-HV	-1.0	29	331
29	406	4	0.9758	-23.999	37	1.0343324091429944	Pre-HV:Post-HV	1.0	406	29
29	501	4	0.9794	28.031	38	0.7781324785706936	Pre-HV:Post-HV	1.0	501	29
29	505	4	0.976	28.032	39	0.5185591957424598	Pre-HV:Post-HV	1.0	505	29
29	506	4	0.9796	28.032	40	0.6196624925492175	Pre-HV:Post-HV	1.0	506	29
29	554	4	0.9755	28.031	41	0.7960606468693033	Pre-HV:Post-HV	1.0	554	29
29	555	4	0.9755	28.031	42	0.7511320954252091	Pre-HV:Post-HV	1.0	555	29
29	697	4	0.9819	-0.001	43	0.0012629343358617178	Pre-HV:Post-HV	1.0	697	29
30	480	42	0.6995	-1.746	44	0.06661577675854974	Pre-HV:Post-HV	1.0	480	30
30	84	42	0.716	-28.031	45	0.06390768889060605	Pre-HV:Post-HV	1.0	84	30
33	190	4	0.9715	-24.000	46	2.4763941550202313	Pre-HV:Post-HV	1.0	190	33
