CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	2.5585049677010514	Pre-P:Post-P	1.0	649	5
5	6	5	0.8971	0.000	1	0.18304657855257211	Pre-P:Post-P	1.0	6	5
5	77	5	0.6542	-10.990	2	1.2801207611992143	Pre-P:Post-P	1.0	77	5
6	649	5	0.9152	3.446	3	2.3754583891484793	Pre-P:Post-P	1.0	649	6
6	77	5	0.6517	-10.990	4	1.0970741826466421	Pre-P:Post-P	1.0	77	6
11	13	116	0.8445	0.001	5	0.17290867272822363	Pre-P:Post-P	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.24485883715453238	Pre-P:Post-P	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.030630643797194025	Pre-P:Post-P	1.0	692	14
15	174	39	0.691	-15.995	8	0.025025010547800403	Pre-P:Post-P	-1.0	15	174
18	116	15	0.7567	-3.008	9	1.107945617278439	Pre-P:Post-P	1.0	116	18
18	129	15	0.7224	-3.008	10	0.9671753307126739	Pre-P:Post-P	1.0	129	18
18	20	15	0.7673	-0.000	11	0.2369268906243931	Pre-P:Post-P	1.0	20	18
19	144	1	0.985	-26.015	12	0.07644952757887999	Pre-P:Post-P	-1.0	19	144
19	25	1	0.9862	-24.000	13	0.149874992877006	Pre-P:Post-P	-1.0	19	25
19	35	1	0.9872	-26.016	14	0.005499095512860872	Pre-P:Post-P	1.0	35	19
19	46	1	0.9901	-28.031	15	0.02046476854759377	Pre-P:Post-P	1.0	46	19
19	615	1	0.9772	-50.015	16	0.005228816882707978	Pre-P:Post-P	1.0	615	19
19	617	1	0.9889	2.016	17	0.12642851862480348	Pre-P:Post-P	1.0	617	19
19	652	1	0.9185	2.017	18	0.04561531015719146	Pre-P:Post-P	-1.0	19	652
19	657	1	0.9225	-21.983	19	0.04575779952429491	Pre-P:Post-P	-1.0	19	657
20	116	15	0.7062	-3.008	20	0.8710187266540459	Pre-P:Post-P	1.0	116	20
20	129	15	0.7389	-3.008	21	0.7302484400882809	Pre-P:Post-P	1.0	129	20
25	144	1	0.9936	-2.016	22	0.07342546529812605	Pre-P:Post-P	1.0	144	25
25	35	1	0.9967	-2.016	23	0.15537408838986685	Pre-P:Post-P	1.0	35	25
25	46	1	0.996	-4.032	24	0.17033976142459972	Pre-P:Post-P	1.0	46	25
25	615	1	0.9851	-26.015	25	0.15510380975971397	Pre-P:Post-P	1.0	615	25
25	617	1	0.9816	26.016	26	0.27630351150180954	Pre-P:Post-P	1.0	617	25
25	652	1	0.9102	26.017	27	0.10425968271981458	Pre-P:Post-P	1.0	652	25
25	657	1	0.9136	2.016	28	0.1041171933527111	Pre-P:Post-P	1.0	657	25
28	193	4	0.9802	-24.000	29	0.49020276327850876	Pre-P:Post-P	-1.0	28	193
28	217	4	0.9784	-0.000	30	0.940236216249542	Pre-P:Post-P	1.0	217	28
28	331	4	0.9802	-23.999	31	0.08326098278923001	Pre-P:Post-P	1.0	331	28
28	362	4	0.9784	-0.000	32	0.9110121453774154	Pre-P:Post-P	1.0	362	28
28	406	4	0.9755	-23.999	33	0.5033294586085502	Pre-P:Post-P	-1.0	28	406
28	755	4	0.9775	0.000	34	0.6874207804097361	Pre-P:Post-P	1.0	755	28
29	193	4	0.9781	-24.000	35	0.3611998058215101	Pre-P:Post-P	-1.0	29	193
29	331	4	0.9789	-23.999	36	0.21226394024622866	Pre-P:Post-P	1.0	331	29
29	406	4	0.9758	-23.999	37	0.37432650115155147	Pre-P:Post-P	-1.0	29	406
29	501	4	0.9794	28.031	38	0.33262252087303856	Pre-P:Post-P	-1.0	29	501
29	505	4	0.976	28.032	39	0.6313320020046693	Pre-P:Post-P	-1.0	29	505
29	506	4	0.9796	28.032	40	0.4371382241446211	Pre-P:Post-P	-1.0	29	506
29	554	4	0.9755	28.031	41	0.06879401174862922	Pre-P:Post-P	-1.0	29	554
29	555	4	0.9755	28.031	42	0.32207416914588394	Pre-P:Post-P	-1.0	29	555
29	697	4	0.9819	-0.001	43	0.011792492220837942	Pre-P:Post-P	-1.0	29	697
30	480	42	0.6995	-1.746	44	0.046087042789018005	Pre-P:Post-P	1.0	480	30
30	84	42	0.716	-28.031	45	0.18917354355848293	Pre-P:Post-P	-1.0	30	84
33	190	4	0.9715	-24.000	46	0.8135116459298313	Pre-P:Post-P	-1.0	33	190
33	501	4	0.9756	28.031	47	0.6944013280810012	Pre-P:Post-P	-1.0	33	501
33	505	4	0.976	28.032	48	0.993110809212632	Pre-P:Post-P	-1.0	33	505
33	755	4	0.9765	0.000	49	0.4546449306587722	Pre-P:Post-P	1.0	755	33
34	80	68	0.7838	-59.038	50	0.00932212543359848	Pre-P:Post-P	-1.0	34	80
35	144	1	0.9941	0.000	51	0.08194862309174088	Pre-P:Post-P	-1.0	35	144
35	46	1	0.9961	-2.016	52	0.014965673034732934	Pre-P:Post-P	1.0	46	35
35	615	1	0.9833	-24.000	53	0.0002702786301528982	Pre-P:Post-P	-1.0	35	615
35	617	1	0.9817	28.032	54	0.12092942311194259	Pre-P:Post-P	1.0	617	35
35	652	1	0.917	28.033	55	0.05111440567005228	Pre-P:Post-P	-1.0	35	652
35	657	1	0.9133	4.032	56	0.051256895037155706	Pre-P:Post-P	-1.0	35	657
36	188	14	0.839	0.000	57	0.31290348657198064	Pre-P:Post-P	-1.0	36	188
36	254	14	0.8296	0.000	58	0.012672830534805841	Pre-P:Post-P	1.0	254	36
36	398	14	0.8325	0.000	59	0.0960482807869299	Pre-P:Post-P	1.0	398	36
36	399	14	0.8613	-0.000	60	0.2058852042465831	Pre-P:Post-P	1.0	399	36
36	400	14	0.8108	-0.000	61	0.10036878123894764	Pre-P:Post-P	1.0	400	36
36	401	14	0.8218	-0.000	62	0.5061919851597794	Pre-P:Post-P	-1.0	36	401
36	62	14	0.8199	-0.000	63	0.24489717753614892	Pre-P:Post-P	1.0	62	36
36	679	14	0.8245	-0.000	64	0.31895542091572787	Pre-P:Post-P	-1.0	36	679
36	699	14	0.8613	-0.000	65	0.10111532587522552	Pre-P:Post-P	-1.0	36	699
36	777	14	0.8198	0.000	66	0.14681863832338238	Pre-P:Post-P	-1.0	36	777
37	255	6	0.9113	0.000	67	0.00562871101082564	Pre-P:Post-P	-1.0	37	255
37	273	6	0.8886	-0.000	68	0.059945941173013856	Pre-P:Post-P	-1.0	37	273
37	39	6	0.9099	0.000	69	0.019225010793997917	Pre-P:Post-P	1.0	39	37
37	396	6	0.9154	-0.000	70	0.19727037098226946	Pre-P:Post-P	-1.0	37	396
37	551	6	0.9075	0.000	71	0.12641925111597635	Pre-P:Post-P	1.0	551	37
37	678	6	0.9118	-0.000	72	0.05506827273372505	Pre-P:Post-P	-1.0	37	678
37	706	6	0.9151	-0.000	73	0.29094420059074494	Pre-P:Post-P	1.0	706	37
37	767	6	0.8676	-0.000	74	0.017073799962341554	Pre-P:Post-P	-1.0	37	767
38	402	22	0.9001	-0.000	75	0.29335549263168104	Pre-P:Post-P	-1.0	38	402
38	558	22	0.8636	-0.000	76	0.42158151676788624	Pre-P:Post-P	-1.0	38	558
38	59	22	0.8578	-2.015	77	0.5253040851269845	Pre-P:Post-P	-1.0	38	59
38	680	22	0.8708	-0.000	78	0.5272825143023613	Pre-P:Post-P	-1.0	38	680
39	255	6	0.9477	0.000	79	0.024853721804823505	Pre-P:Post-P	-1.0	39	255
39	273	6	0.9036	-0.000	80	0.0791709519670118	Pre-P:Post-P	-1.0	39	273
39	396	6	0.9316	-0.000	81	0.2164953817762675	Pre-P:Post-P	-1.0	39	396
39	44	6	0.882	56.026	82	0.027614884375306892	Pre-P:Post-P	-1.0	39	44
39	551	6	0.9241	0.000	83	0.10719424032197838	Pre-P:Post-P	1.0	551	39
39	552	6	0.8598	56.026	84	0.1279922424036732	Pre-P:Post-P	-1.0	39	552
39	553	6	0.8598	56.026	85	0.6776912969060087	Pre-P:Post-P	-1.0	39	553
39	678	6	0.9104	-0.000	86	0.07429328352772285	Pre-P:Post-P	-1.0	39	678
39	706	6	0.8987	-0.000	87	0.2717191897967471	Pre-P:Post-P	1.0	706	39
39	767	6	0.8897	-0.000	88	0.03629881075633945	Pre-P:Post-P	-1.0	39	767
42	403	77	0.8156	-0.000	89	0.25831378528326104	Pre-P:Post-P	-1.0	42	403
42	48	77	0.8013	0.000	90	0.43567883396003304	Pre-P:Post-P	-1.0	42	48
42	54	77	0.8405	-0.000	91	0.5806725528131367	Pre-P:Post-P	-1.0	42	54
42	561	77	0.8221	-0.000	92	0.3328117361587027	Pre-P:Post-P	-1.0	42	561
42	663	77	0.8442	-0.000	93	0.11954404711599807	Pre-P:Post-P	-1.0	42	663
42	768	77	0.8613	-0.000	94	0.28803940966876407	Pre-P:Post-P	-1.0	42	768
43	595	19	0.8191	28.031	95	0.5251629886772313	Pre-P:Post-P	-1.0	43	595
43	64	19	0.8191	28.031	96	0.04075656537320622	Pre-P:Post-P	-1.0	43	64
44	192	6	0.8882	0.000	97	0.013746649187904364	Pre-P:Post-P	1.0	192	44
44	255	6	0.8937	-56.026	98	0.002761162570483313	Pre-P:Post-P	1.0	255	44
44	396	6	0.868	-56.026	99	0.18888049740096055	Pre-P:Post-P	-1.0	44	396
44	397	6	0.9462	-0.000	100	0.025060002321607596	Pre-P:Post-P	1.0	397	44
44	552	6	0.9267	-0.000	101	0.10037735802836627	Pre-P:Post-P	-1.0	44	552
44	553	6	0.9267	-0.000	102	0.6500764125307017	Pre-P:Post-P	-1.0	44	553
44	709	6	0.8987	-0.000	103	0.34676045176161147	Pre-P:Post-P	1.0	709	44
44	754	6	0.9	0.000	104	0.06445111395274136	Pre-P:Post-P	-1.0	44	754
44	761	6	0.9045	-0.000	105	0.0702457768393749	Pre-P:Post-P	1.0	761	44
45	180	63	0.8259	-17.026	106	0.15473504914141537	Pre-P:Post-P	-1.0	45	180
45	358	63	0.8566	0.000	107	0.04140907426690473	Pre-P:Post-P	-1.0	45	358
46	144	1	0.995	2.016	108	0.09691429612647379	Pre-P:Post-P	-1.0	46	144
46	615	1	0.984	-21.984	109	0.015235951664885826	Pre-P:Post-P	-1.0	46	615
46	617	1	0.9826	30.048	110	0.10596375007720969	Pre-P:Post-P	1.0	617	46
46	652	1	0.9111	30.048	111	0.06608007870478523	Pre-P:Post-P	-1.0	46	652
46	657	1	0.9172	6.048	112	0.06622256807188877	Pre-P:Post-P	-1.0	46	657
47	189	2	0.9282	0.000	113	0.21802004862084362	Pre-P:Post-P	-1.0	47	189
47	288	2	0.9121	-0.000	114	0.35853109621976714	Pre-P:Post-P	-1.0	47	288
47	344	2	0.9216	0.000	115	0.006832023207441786	Pre-P:Post-P	-1.0	47	344
47	409	2	0.9135	-0.000	116	0.016837779499110646	Pre-P:Post-P	-1.0	47	409
47	411	2	1.0	0.000	117	0.19535398968766263	Pre-P:Post-P	-1.0	47	411
47	71	2	0.9121	0.000	118	0.06457418102883807	Pre-P:Post-P	-1.0	47	71
47	764	2	0.9042	-58.041	119	0.27745520746636937	Pre-P:Post-P	-1.0	47	764
47	87	2	0.9147	-58.041	120	0.040798966724375524	Pre-P:Post-P	-1.0	47	87
48	403	77	0.9017	-0.000	121	0.17736504867677202	Pre-P:Post-P	1.0	403	48
48	54	77	0.8877	-0.000	122	0.14499371885310358	Pre-P:Post-P	-1.0	48	54
48	561	77	0.8936	-0.000	123	0.10286709780133042	Pre-P:Post-P	1.0	561	48
48	663	77	0.8849	-0.000	124	0.316134786844035	Pre-P:Post-P	1.0	663	48
48	768	77	0.9369	-0.000	125	0.14763942429126894	Pre-P:Post-P	1.0	768	48
52	558	22	0.8612	-0.000	126	0.25788750493932017	Pre-P:Post-P	-1.0	52	558
53	405	2	0.8795	-0.000	127	0.21217447721060226	Pre-P:Post-P	-1.0	53	405
53	557	2	0.8795	0.000	128	0.20242921714005138	Pre-P:Post-P	1.0	557	53
53	559	2	0.878	-0.000	129	0.33579142563212344	Pre-P:Post-P	1.0	559	53
54	403	77	0.8771	0.000	130	0.3223587675298757	Pre-P:Post-P	1.0	403	54
54	561	77	0.9264	-0.000	131	0.24786081665443405	Pre-P:Post-P	1.0	561	54
54	663	77	0.9219	-0.000	132	0.4611285056971386	Pre-P:Post-P	1.0	663	54
54	768	77	0.9149	0.000	133	0.29263314314437255	Pre-P:Post-P	1.0	768	54
55	360	4	1.0	-0.000	134	0.7262853243888543	Pre-P:Post-P	-1.0	55	360
55	546	4	0.9669	1.003	135	0.21821030538433733	Pre-P:Post-P	-1.0	55	546
