CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	0.24314434403301144	Pre-HV:Post-HV	-1.0	5	649
5	6	5	0.8971	0.000	1	0.11238002078983643	Pre-HV:Post-HV	-1.0	5	6
5	77	5	0.6542	-10.990	2	0.018649610765852417	Pre-HV:Post-HV	-1.0	5	77
6	649	5	0.9152	3.446	3	0.13076432324317497	Pre-HV:Post-HV	-1.0	6	649
6	77	5	0.6517	-10.990	4	0.09373041002398415	Pre-HV:Post-HV	1.0	77	6
11	13	116	0.8445	0.001	5	3.1943677777194655	Pre-HV:Post-HV	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.18241113564912706	Pre-HV:Post-HV	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.010469893306451534	Pre-HV:Post-HV	-1.0	14	692
15	174	39	0.691	-15.995	8	0.07738351636228852	Pre-HV:Post-HV	-1.0	15	174
18	116	15	0.7567	-3.008	9	0.05165529572382753	Pre-HV:Post-HV	1.0	116	18
18	129	15	0.7224	-3.008	10	0.09184500240041864	Pre-HV:Post-HV	-1.0	18	129
18	20	15	0.7673	-0.000	11	0.031022328080554596	Pre-HV:Post-HV	-1.0	18	20
19	144	1	0.985	-26.015	12	0.08232928510597443	Pre-HV:Post-HV	-1.0	19	144
19	25	1	0.9862	-24.000	13	0.03154647568885438	Pre-HV:Post-HV	1.0	25	19
19	35	1	0.9872	-26.016	14	0.038782274275601415	Pre-HV:Post-HV	-1.0	19	35
19	46	1	0.9901	-28.031	15	0.061153463240929934	Pre-HV:Post-HV	-1.0	19	46
19	615	1	0.9772	-50.015	16	0.04332434942448931	Pre-HV:Post-HV	1.0	615	19
19	617	1	0.9889	2.016	17	0.03374123339037452	Pre-HV:Post-HV	1.0	617	19
19	652	1	0.9185	2.017	18	0.0721443613791011	Pre-HV:Post-HV	1.0	652	19
19	657	1	0.9225	-21.983	19	0.07358151545511009	Pre-HV:Post-HV	1.0	657	19
20	116	15	0.7062	-3.008	20	0.0826776238043821	Pre-HV:Post-HV	1.0	116	20
20	129	15	0.7389	-3.008	21	0.06082267431986407	Pre-HV:Post-HV	-1.0	20	129
25	144	1	0.9936	-2.016	22	0.11387576079482888	Pre-HV:Post-HV	-1.0	25	144
25	35	1	0.9967	-2.016	23	0.07032874996445573	Pre-HV:Post-HV	-1.0	25	35
25	46	1	0.996	-4.032	24	0.09269993892978436	Pre-HV:Post-HV	-1.0	25	46
25	615	1	0.9851	-26.015	25	0.011777873735634863	Pre-HV:Post-HV	1.0	615	25
25	617	1	0.9816	26.016	26	0.002194757701520159	Pre-HV:Post-HV	1.0	617	25
25	652	1	0.9102	26.017	27	0.04059788569024675	Pre-HV:Post-HV	1.0	652	25
25	657	1	0.9136	2.016	28	0.042035039766255694	Pre-HV:Post-HV	1.0	657	25
28	193	4	0.9802	-24.000	29	1.0758084289578935	Pre-HV:Post-HV	-1.0	28	193
28	217	4	0.9784	-0.000	30	0.18767954523249564	Pre-HV:Post-HV	-1.0	28	217
28	331	4	0.9802	-23.999	31	0.8569603238227113	Pre-HV:Post-HV	-1.0	28	331
28	362	4	0.9784	-0.000	32	0.17642997935848076	Pre-HV:Post-HV	-1.0	28	362
28	406	4	0.9755	-23.999	33	0.22556218645117884	Pre-HV:Post-HV	1.0	406	28
28	755	4	0.9775	0.000	34	0.5249045827864978	Pre-HV:Post-HV	-1.0	28	755
29	193	4	0.9781	-24.000	35	0.2651760131733507	Pre-HV:Post-HV	-1.0	29	193
29	331	4	0.9789	-23.999	36	0.04632790803816849	Pre-HV:Post-HV	-1.0	29	331
29	406	4	0.9758	-23.999	37	1.0361946022357216	Pre-HV:Post-HV	1.0	406	29
29	501	4	0.9794	28.031	38	0.18801988468697733	Pre-HV:Post-HV	-1.0	29	501
29	505	4	0.976	28.032	39	0.05953392985733126	Pre-HV:Post-HV	-1.0	29	505
29	506	4	0.9796	28.032	40	0.18724882999861148	Pre-HV:Post-HV	1.0	506	29
29	554	4	0.9755	28.031	41	0.45588830252889034	Pre-HV:Post-HV	1.0	554	29
29	555	4	0.9755	28.031	42	0.4453268603920711	Pre-HV:Post-HV	1.0	555	29
29	697	4	0.9819	-0.001	43	0.1575368158610531	Pre-HV:Post-HV	1.0	697	29
30	480	42	0.6995	-1.746	44	0.19855732996730274	Pre-HV:Post-HV	-1.0	30	480
30	84	42	0.716	-28.031	45	0.08953647046669956	Pre-HV:Post-HV	-1.0	30	84
33	190	4	0.9715	-24.000	46	0.6781716675095075	Pre-HV:Post-HV	-1.0	33	190
33	501	4	0.9756	28.031	47	0.5416892904095791	Pre-HV:Post-HV	-1.0	33	501
33	505	4	0.976	28.032	48	0.4132033355799332	Pre-HV:Post-HV	-1.0	33	505
33	755	4	0.9765	0.000	49	0.06794157272455714	Pre-HV:Post-HV	-1.0	33	755
34	80	68	0.7838	-59.038	50	0.009546765580632426	Pre-HV:Post-HV	-1.0	34	80
35	144	1	0.9941	0.000	51	0.043547010830373115	Pre-HV:Post-HV	-1.0	35	144
35	46	1	0.9961	-2.016	52	0.022371188965328536	Pre-HV:Post-HV	-1.0	35	46
35	615	1	0.9833	-24.000	53	0.08210662370009059	Pre-HV:Post-HV	1.0	615	35
35	617	1	0.9817	28.032	54	0.07252350766597597	Pre-HV:Post-HV	1.0	617	35
35	652	1	0.917	28.033	55	0.11092663565470255	Pre-HV:Post-HV	1.0	652	35
35	657	1	0.9133	4.032	56	0.11236378973071146	Pre-HV:Post-HV	1.0	657	35
36	188	14	0.839	0.000	57	0.445044654087926	Pre-HV:Post-HV	1.0	188	36
36	254	14	0.8296	0.000	58	0.009320757301624042	Pre-HV:Post-HV	1.0	254	36
36	398	14	0.8325	0.000	59	1.8954668212424803	Pre-HV:Post-HV	-1.0	36	398
36	399	14	0.8613	-0.000	60	0.07088362828828808	Pre-HV:Post-HV	-1.0	36	399
36	400	14	0.8108	-0.000	61	0.19304674881032244	Pre-HV:Post-HV	1.0	400	36
