CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	2.5291230071518935	Pre-P:Post-P	1.0	649	5
5	6	5	0.8971	0.000	1	0.22075239389701168	Pre-P:Post-P	1.0	6	5
5	77	5	0.6542	-10.990	2	1.2535438735469817	Pre-P:Post-P	1.0	77	5
6	649	5	0.9152	3.446	3	2.3083706132548816	Pre-P:Post-P	1.0	649	6
6	77	5	0.6517	-10.990	4	1.03279147964997	Pre-P:Post-P	1.0	77	6
11	13	116	0.8445	0.001	5	0.5978525781104445	Pre-P:Post-P	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.1246846086242244	Pre-P:Post-P	1.0	117	14
14	692	50	0.8105	-0.001	7	0.10632515627110238	Pre-P:Post-P	1.0	692	14
15	174	39	0.691	-15.995	8	0.027878697013861028	Pre-P:Post-P	1.0	174	15
18	116	15	0.7567	-3.008	9	1.0784651022400353	Pre-P:Post-P	1.0	116	18
18	129	15	0.7224	-3.008	10	0.9424895947362857	Pre-P:Post-P	1.0	129	18
18	20	15	0.7673	-0.000	11	0.2642764189119607	Pre-P:Post-P	1.0	20	18
19	144	1	0.985	-26.015	12	0.23727255652018941	Pre-P:Post-P	-1.0	19	144
19	25	1	0.9862	-24.000	13	0.15176497412866963	Pre-P:Post-P	-1.0	19	25
19	35	1	0.9872	-26.016	14	0.009446674760115036	Pre-P:Post-P	-1.0	19	35
19	46	1	0.9901	-28.031	15	0.05269954862899193	Pre-P:Post-P	-1.0	19	46
19	615	1	0.9772	-50.015	16	0.021506080465840578	Pre-P:Post-P	-1.0	19	615
19	617	1	0.9889	2.016	17	0.04034638530282615	Pre-P:Post-P	-1.0	19	617
19	652	1	0.9185	2.017	18	0.08147181340844445	Pre-P:Post-P	-1.0	19	652
19	657	1	0.9225	-21.983	19	0.01306281508651211	Pre-P:Post-P	-1.0	19	657
20	116	15	0.7062	-3.008	20	0.8141886833280746	Pre-P:Post-P	1.0	116	20
20	129	15	0.7389	-3.008	21	0.6782131758243249	Pre-P:Post-P	1.0	129	20
25	144	1	0.9936	-2.016	22	0.08550758239151969	Pre-P:Post-P	-1.0	25	144
25	35	1	0.9967	-2.016	23	0.14231829936855453	Pre-P:Post-P	1.0	35	25
25	46	1	0.996	-4.032	24	0.09906542549967767	Pre-P:Post-P	1.0	46	25
25	615	1	0.9851	-26.015	25	0.13025889366282903	Pre-P:Post-P	1.0	615	25
25	617	1	0.9816	26.016	26	0.1114185888258435	Pre-P:Post-P	1.0	617	25
25	652	1	0.9102	26.017	27	0.07029316072022522	Pre-P:Post-P	1.0	652	25
25	657	1	0.9136	2.016	28	0.13870215904215744	Pre-P:Post-P	1.0	657	25
28	193	4	0.9802	-24.000	29	0.3220765162446876	Pre-P:Post-P	-1.0	28	193
28	217	4	0.9784	-0.000	30	0.19422935148503845	Pre-P:Post-P	-1.0	28	217
28	331	4	0.9802	-23.999	31	0.318317223527847	Pre-P:Post-P	-1.0	28	331
28	362	4	0.9784	-0.000	32	0.15890586820681998	Pre-P:Post-P	-1.0	28	362
28	406	4	0.9755	-23.999	33	0.1253216309557197	Pre-P:Post-P	-1.0	28	406
28	755	4	0.9775	0.000	34	0.2521787815177894	Pre-P:Post-P	-1.0	28	755
29	193	4	0.9781	-24.000	35	0.19643284705332745	Pre-P:Post-P	1.0	193	29
29	331	4	0.9789	-23.999	36	0.2001921397701681	Pre-P:Post-P	1.0	331	29
29	406	4	0.9758	-23.999	37	0.3931877323422954	Pre-P:Post-P	1.0	406	29
29	501	4	0.9794	28.031	38	0.2263623198556225	Pre-P:Post-P	1.0	501	29
29	505	4	0.976	28.032	39	0.3497370741138075	Pre-P:Post-P	1.0	505	29
29	506	4	0.9796	28.032	40	0.4461309773991602	Pre-P:Post-P	1.0	506	29
29	554	4	0.9755	28.031	41	0.5397393756490114	Pre-P:Post-P	1.0	554	29
29	555	4	0.9755	28.031	42	0.4684957469062231	Pre-P:Post-P	1.0	555	29
29	697	4	0.9819	-0.001	43	0.4171093782057827	Pre-P:Post-P	1.0	697	29
30	480	42	0.6995	-1.746	44	0.002264605399344899	Pre-P:Post-P	-1.0	30	480
30	84	42	0.716	-28.031	45	0.12329890872063992	Pre-P:Post-P	1.0	84	30
33	190	4	0.9715	-24.000	46	0.1689096630290831	Pre-P:Post-P	1.0	190	33
33	501	4	0.9756	28.031	47	0.09906914348154874	Pre-P:Post-P	-1.0	33	501
33	505	4	0.976	28.032	48	0.024305610776636382	Pre-P:Post-P	1.0	505	33
33	755	4	0.9765	0.000	49	0.05910088155694546	Pre-P:Post-P	-1.0	33	755
34	80	68	0.7838	-59.038	50	0.021699489431417692	Pre-P:Post-P	-1.0	34	80
35	144	1	0.9941	0.000	51	0.2278258817600743	Pre-P:Post-P	-1.0	35	144
35	46	1	0.9961	-2.016	52	0.043252873868876794	Pre-P:Post-P	-1.0	35	46
35	615	1	0.9833	-24.000	53	0.012059405705725492	Pre-P:Post-P	-1.0	35	615
35	617	1	0.9817	28.032	54	0.030899710542711057	Pre-P:Post-P	-1.0	35	617
35	652	1	0.917	28.033	55	0.07202513864832931	Pre-P:Post-P	-1.0	35	652
35	657	1	0.9133	4.032	56	0.003616140326397015	Pre-P:Post-P	-1.0	35	657
36	188	14	0.839	0.000	57	0.18077991942497745	Pre-P:Post-P	1.0	188	36
36	254	14	0.8296	0.000	58	0.3044278733379611	Pre-P:Post-P	1.0	254	36
36	398	14	0.8325	0.000	59	0.1354665166631354	Pre-P:Post-P	1.0	398	36
36	399	14	0.8613	-0.000	60	0.3014179490255737	Pre-P:Post-P	1.0	399	36
36	400	14	0.8108	-0.000	61	0.5185586563986911	Pre-P:Post-P	1.0	400	36
36	401	14	0.8218	-0.000	62	0.2067244049194193	Pre-P:Post-P	1.0	401	36
36	62	14	0.8199	-0.000	63	0.13052937882201912	Pre-P:Post-P	1.0	62	36
36	679	14	0.8245	-0.000	64	0.3033414207540066	Pre-P:Post-P	1.0	679	36
36	699	14	0.8613	-0.000	65	0.5224610077960965	Pre-P:Post-P	1.0	699	36
36	777	14	0.8198	0.000	66	0.3149764361572948	Pre-P:Post-P	1.0	777	36
37	255	6	0.9113	0.000	67	0.17309125047429982	Pre-P:Post-P	1.0	255	37
37	273	6	0.8886	-0.000	68	0.20500972122883	Pre-P:Post-P	1.0	273	37
37	39	6	0.9099	0.000	69	0.13443080607236121	Pre-P:Post-P	1.0	39	37
37	396	6	0.9154	-0.000	70	0.4947073832083032	Pre-P:Post-P	1.0	396	37
37	551	6	0.9075	0.000	71	2.3090307964541927	Pre-P:Post-P	1.0	551	37
37	678	6	0.9118	-0.000	72	0.19343285835481655	Pre-P:Post-P	1.0	678	37
37	706	6	0.9151	-0.000	73	0.21136957775700074	Pre-P:Post-P	1.0	706	37
