CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
5	649	5	0.9108	3.446	0	0.1249104408550944	Pre-HV:Post-HV	-1.0	5	649
5	6	5	0.8971	0.000	1	0.09806965070043511	Pre-HV:Post-HV	-1.0	5	6
5	77	5	0.6542	-10.990	2	0.031216417311887592	Pre-HV:Post-HV	1.0	77	5
6	649	5	0.9152	3.446	3	0.02684079015465926	Pre-HV:Post-HV	-1.0	6	649
6	77	5	0.6517	-10.990	4	0.1292860680123228	Pre-HV:Post-HV	1.0	77	6
11	13	116	0.8445	0.001	5	2.637502457755198	Pre-HV:Post-HV	-1.0	11	13
14	117	50	0.7998	-0.000	6	0.06837864992490862	Pre-HV:Post-HV	-1.0	14	117
14	692	50	0.8105	-0.001	7	0.25042978119587556	Pre-HV:Post-HV	-1.0	14	692
15	174	39	0.691	-15.995	8	0.07264170211365338	Pre-HV:Post-HV	-1.0	15	174
18	116	15	0.7567	-3.008	9	0.06978263568573229	Pre-HV:Post-HV	1.0	116	18
18	129	15	0.7224	-3.008	10	0.17740321806429132	Pre-HV:Post-HV	1.0	129	18
18	20	15	0.7673	-0.000	11	0.018920809824583412	Pre-HV:Post-HV	1.0	20	18
19	144	1	0.985	-26.015	12	0.13716282447361977	Pre-HV:Post-HV	1.0	144	19
19	25	1	0.9862	-24.000	13	0.15108324678291377	Pre-HV:Post-HV	1.0	25	19
19	35	1	0.9872	-26.016	14	0.016328328080912762	Pre-HV:Post-HV	-1.0	19	35
19	46	1	0.9901	-28.031	15	0.004965793129051657	Pre-HV:Post-HV	1.0	46	19
19	615	1	0.9772	-50.015	16	0.05917977588599435	Pre-HV:Post-HV	1.0	615	19
19	617	1	0.9889	2.016	17	0.022829488115601898	Pre-HV:Post-HV	-1.0	19	617
19	652	1	0.9185	2.017	18	0.024617277228889258	Pre-HV:Post-HV	-1.0	19	652
19	657	1	0.9225	-21.983	19	0.16591578900519408	Pre-HV:Post-HV	1.0	657	19
20	116	15	0.7062	-3.008	20	0.05086182586114891	Pre-HV:Post-HV	1.0	116	20
20	129	15	0.7389	-3.008	21	0.15848240823970786	Pre-HV:Post-HV	1.0	129	20
25	144	1	0.9936	-2.016	22	0.01392042230929397	Pre-HV:Post-HV	-1.0	25	144
25	35	1	0.9967	-2.016	23	0.16741157486382646	Pre-HV:Post-HV	-1.0	25	35
25	46	1	0.996	-4.032	24	0.14611745365386214	Pre-HV:Post-HV	-1.0	25	46
25	615	1	0.9851	-26.015	25	0.0919034708969194	Pre-HV:Post-HV	-1.0	25	615
25	617	1	0.9816	26.016	26	0.17391273489851558	Pre-HV:Post-HV	-1.0	25	617
25	652	1	0.9102	26.017	27	0.17570052401180303	Pre-HV:Post-HV	-1.0	25	652
25	657	1	0.9136	2.016	28	0.014832542222280322	Pre-HV:Post-HV	1.0	657	25
28	193	4	0.9802	-24.000	29	0.08307993015744408	Pre-HV:Post-HV	-1.0	28	193
28	217	4	0.9784	-0.000	30	0.24866085857925896	Pre-HV:Post-HV	-1.0	28	217
28	331	4	0.9802	-23.999	31	0.7584626073930162	Pre-HV:Post-HV	-1.0	28	331
28	362	4	0.9784	-0.000	32	0.17481725005634538	Pre-HV:Post-HV	-1.0	28	362
28	406	4	0.9755	-23.999	33	0.07108168922152718	Pre-HV:Post-HV	1.0	406	28
28	755	4	0.9775	0.000	34	0.46047813882249267	Pre-HV:Post-HV	-1.0	28	755
29	193	4	0.9781	-24.000	35	0.5869836207959834	Pre-HV:Post-HV	1.0	193	29
29	331	4	0.9789	-23.999	36	0.0883990564395886	Pre-HV:Post-HV	-1.0	29	331
29	406	4	0.9758	-23.999	37	0.7411452401749548	Pre-HV:Post-HV	1.0	406	29
29	501	4	0.9794	28.031	38	0.40088029373237066	Pre-HV:Post-HV	1.0	501	29
29	505	4	0.976	28.032	39	0.4175508167650689	Pre-HV:Post-HV	1.0	505	29
29	506	4	0.9796	28.032	40	0.4980318759405564	Pre-HV:Post-HV	1.0	506	29
29	554	4	0.9755	28.031	41	0.586292608140041	Pre-HV:Post-HV	1.0	554	29
29	555	4	0.9755	28.031	42	0.4173402276964219	Pre-HV:Post-HV	1.0	555	29
29	697	4	0.9819	-0.001	43	0.1086041119620737	Pre-HV:Post-HV	1.0	697	29
30	480	42	0.6995	-1.746	44	0.11311733481025894	Pre-HV:Post-HV	-1.0	30	480
30	84	42	0.716	-28.031	45	0.23528127315012803	Pre-HV:Post-HV	-1.0	30	84
33	190	4	0.9715	-24.000	46	1.3013035416462708	Pre-HV:Post-HV	1.0	190	33
33	501	4	0.9756	28.031	47	0.1450419788132618	Pre-HV:Post-HV	1.0	501	33
33	505	4	0.976	28.032	48	0.16171250184596006	Pre-HV:Post-HV	1.0	505	33
33	755	4	0.9765	0.000	49	0.04625290278817387	Pre-HV:Post-HV	-1.0	33	755
34	80	68	0.7838	-59.038	50	0.00832469355706912	Pre-HV:Post-HV	1.0	80	34
35	144	1	0.9941	0.000	51	0.1534911525545326	Pre-HV:Post-HV	1.0	144	35
35	46	1	0.9961	-2.016	52	0.021294121209964413	Pre-HV:Post-HV	1.0	46	35
35	615	1	0.9833	-24.000	53	0.07550810396690705	Pre-HV:Post-HV	1.0	615	35
35	617	1	0.9817	28.032	54	0.006501160034689124	Pre-HV:Post-HV	-1.0	35	617
35	652	1	0.917	28.033	55	0.008288949147976513	Pre-HV:Post-HV	-1.0	35	652
35	657	1	0.9133	4.032	56	0.18224411708610677	Pre-HV:Post-HV	1.0	657	35
36	188	14	0.839	0.000	57	0.16567164301460593	Pre-HV:Post-HV	1.0	188	36
36	254	14	0.8296	0.000	58	0.07735645284172332	Pre-HV:Post-HV	1.0	254	36
36	398	14	0.8325	0.000	59	0.20206842473851314	Pre-HV:Post-HV	1.0	398	36
36	399	14	0.8613	-0.000	60	0.20148739039097296	Pre-HV:Post-HV	1.0	399	36
36	400	14	0.8108	-0.000	61	0.23359816566339012	Pre-HV:Post-HV	1.0	400	36
36	401	14	0.8218	-0.000	62	0.24961706830858663	Pre-HV:Post-HV	1.0	401	36
36	62	14	0.8199	-0.000	63	0.02693936210867625	Pre-HV:Post-HV	1.0	62	36
36	679	14	0.8245	-0.000	64	0.03949492932208751	Pre-HV:Post-HV	1.0	679	36
36	699	14	0.8613	-0.000	65	0.30934395126865677	Pre-HV:Post-HV	1.0	699	36
36	777	14	0.8198	0.000	66	0.13482166871133963	Pre-HV:Post-HV	1.0	777	36
37	255	6	0.9113	0.000	67	0.03948661314356146	Pre-HV:Post-HV	1.0	255	37
37	273	6	0.8886	-0.000	68	0.08698816808488291	Pre-HV:Post-HV	1.0	273	37
37	39	6	0.9099	0.000	69	0.06842464445218566	Pre-HV:Post-HV	1.0	39	37
