row ID,row m/z,row retention time,s102_BB8_01_51048.mzXML Peak area,s24_BD2_01_51087.mzXML Peak area,s1_BD6_01_51095.mzXML Peak area,s19_rerun_BC10_01_51138.mzXML Peak area,s111_BC11_01_51081.mzXML Peak area,s103_rerun_BC8_01_51134.mzXML Peak area,s101_BA9_01_51025.mzXML Peak area,s14_BB4_01_51039.mzXML Peak area,s110_rerun_BB12_01_51140.mzXML Peak area,s22_BC4_01_51065.mzXML Peak area,s17_BA6_01_51019.mzXML Peak area,s25_BE7_01_51121.mzXML Peak area,s32_BB9_01_51050.mzXML Peak area,s41_BD7_01_51097.mzXML Peak area,s34_BA8_01_51023.mzXML Peak area,s35_BA7_01_51021.mzXML Peak area,s42_BB3_01_51037.mzXML Peak area,s43_BE10_01_51125.mzXML Peak area,s40_BE8_01_51123.mzXML Peak area,s37_BA5_01_51017.mzXML Peak area,s2_BE6_01_51119.mzXML Peak area,s38_BE5_01_51117.mzXML Peak area,s28_BE4_01_51115.mzXML Peak area,s26_BC9_01_51076.mzXML Peak area,s68_BA11_01_51029.mzXML Peak area,s67b_BB6_01_51043.mzXML Peak area,s70_BC2_01_51061.mzXML Peak area,s69_repeat_RD11_01_51500.mzXML Peak area,s44_BC5_01_51067.mzXML Peak area,s46_BE11_01_51127.mzXML Peak area,s5_BC6_01_51069.mzXML Peak area,s51_BD5_01_51093.mzXML Peak area,s48_BD12_01_51107.mzXML Peak area,s4_BD9_01_51101.mzXML Peak area,s71_BC3_01_51063.mzXML Peak area,s84_BB7_01_51046.mzXML Peak area,s60_BE12_01_51130.mzXML Peak area,s86_BB11_01_51054.mzXML Peak area,s83_BD3_01_51089.mzXML Peak area,s73_BD8_01_51099.mzXML Peak area,s78_rerun_BC12_01_51132.mzXML Peak area,s90_BA10_01_51027.mzXML Peak area,s82_BD10_01_51103.mzXML Peak area,s79_BE2_01_51111.mzXML Peak area,s72_BD4_01_51091.mzXML Peak area,s13_repeat_BE4_01_51280.mzXML Peak area,s85_BB10_01_51052.mzXML Peak area,s92_BE3_01_51113.mzXML Peak area,s94_BA4_01_51015.mzXML Peak area,s9_BB5_01_51041.mzXML Peak area,s113_rerun_BA4_01_51154.mzXML Peak area,s99_BB2_01_51035.mzXML Peak area,s76_BA12_01_51031.mzXML Peak area,s18_BG7_01_51491.mzXML Peak area,s20_BD8_01_51244.mzXML Peak area,s12_BC6_01_51209.mzXML Peak area,s10_BE10_01_51275.mzXML Peak area,s11_BA10_01_51166.mzXML Peak area,s100_rerun_BA6_01_51158.mzXML Peak area,s109_repeat_BC8_01_51291.mzXML Peak area,s112_repeat_BB9_01_51300.mzXML Peak area,s16_BD2_01_51227.mzXML Peak area,s23_repeat_BD5_01_51511.mzXML Peak area,s47_repeat_BB5_01_51298.mzXML Peak area,s15_BA3_01_51149.mzXML Peak area,s95_repeat_RA3_01_51493.mzXML Peak area,s45_BA7_01_51160.mzXML Peak area,s21_BA9_01_51164.mzXML Peak area,s36_BD4_01_51234.mzXML Peak area,s31_BC2_01_51201.mzXML Peak area,s3_repeat_BB7_01_51502.mzXML Peak area,s39_BD9_01_51246.mzXML Peak area,s33_repeat_BE7_01_51515.mzXML Peak area,s64_repeat_BE6_01_51282.mzXML Peak area,s29_BB4_01_51179.mzXML Peak area,s52_BC9_01_51216.mzXML Peak area,s63_repeat_BC3_01_51289.mzXML Peak area,s56_rerun_BA5_01_51156.mzXML Peak area,s49_repeat_BB12_01_51305.mzXML Peak area,s59_BE8_01_51271.mzXML Peak area,s27_BE5_01_51263.mzXML Peak area,s30_BB2_01_51174.mzXML Peak area,s50_BG5_01_51487.mzXML Peak area,s53_repeat_BB10_01_51504.mzXML Peak area,s75_BE11_01_51277.mzXML Peak area,s61_repeat_BC10_01_51509.mzXML Peak area,s58_BD10_01_51248.mzXML Peak area,s65_repeat_BB11_01_51303.mzXML Peak area,s74_repeat_BD12_01_51287.mzXML Peak area,s67_repeat_BA8_01_51294.mzXML Peak area,s77_BB8_01_51188.mzXML Peak area,s54_BE2_01_51257.mzXML Peak area,s66_BC11_01_51220.mzXML Peak area,s6_BD3_01_51232.mzXML Peak area,s8_repeat_BD6_01_51285.mzXML Peak area,s80_BC12_01_51222.mzXML Peak area,s7_BB6_01_51183.mzXML Peak area,s81_BB3_01_51177.mzXML Peak area,s88_BD7_01_51242.mzXML Peak area,s87_BG6_01_51489.mzXML Peak area,s98_BG3_01_51483.mzXML Peak area,s57_BA12_01_51170.mzXML Peak area,s97_BG2_01_51481.mzXML Peak area,s93_BE3_01_51259.mzXML Peak area,s91_BA11_01_51168.mzXML Peak area,s89_BD11_01_51250.mzXML Peak area,Unnamed: 109
1,293.09815347391003,0.2751993710691824,3865451.748,1114834.2149999994,6331154.605500001,4063112.0375000034,4070994.7560000005,4758913.387499998,4990058.252000002,8091613.459500003,4069097.945,3441207.2179999994,7972110.581999999,4825697.5819999995,4264384.677999998,5482841.406499999,4666947.5655,4918271.807500003,5579469.132000003,7673422.152000003,6419231.4045,6085863.490499998,6815837.6044999985,9787146.642000005,6067125.870500001,3530064.5265,4479273.741,4661618.289000003,3940837.163000001,2900840.3895000014,3644827.208499999,5002274.857000002,2885192.8109999984,4746385.979999999,5896353.839499999,5046216.463999996,3737423.8885,3753324.6665000007,3944527.6135,4466977.612999999,4328341.175000002,6054416.426499999,5059549.8755,4272390.338,4758573.247,5503699.197999999,5275151.095500002,12240599.389500005,4275689.976500001,4782535.082499998,4140432.5905000013,5331415.426000001,5308998.4915000005,5196951.500499997,4808212.127,8842687.410000002,4837176.294,4196569.743500001,5813125.823999999,5096846.309499999,5789162.414499997,4607068.694499998,4653864.242500002,7479407.122999999,5524944.962499999,4405023.085000001,8147412.431000001,4567492.647499997,4818547.960500003,4922034.4115,4040552.9075,4548510.2590000015,5846507.624999997,5140152.9295000015,11490486.7235,4447720.8215000015,1405349.9595000006,3342413.2564999987,4450560.148,8171823.708499999,4311240.565000001,7315984.4265,4680577.5874999985,4960517.172500001,2638950.403000001,2766917.6735,5352399.715000002,2161414.005,7225188.545,6497603.015500003,10756793.403499993,4379354.845999999,4997681.7065,7776047.715999996,1216588.8389999992,4195595.913999999,3754281.15,4680398.2265,4419849.336999998,4317560.486999999,4691809.435999999,4833716.078,1853.940000000001,3336891.9270000006,1151.1450000000004,4868624.6275,4499466.9465000015,4923216.372999999,
2,555.0532795607774,2.775474261603375,1481959.1689999974,0.0,0.0,198.9240000000006,1273117.0200000007,87967.3245000001,2185024.0905000055,317.7720000000012,3860183.4360000114,0.0,0.0,705.1389999999982,2473.829000000008,279.5649999999992,292.665,0.0,211.10850000000127,0.0,334.765,192.6349999999981,0.0,0.0,0.0,0.0,173.41599999999923,371.31799999999976,248.4440000000015,2063.9624999999987,312.66699999999986,0.0,1529.0739999999985,0.0,816.852000000003,7282.603499999997,0.0,647548.0130000013,0.0,1792.1310000000046,10517.943499999994,169.58949999999953,0.0,1929.8845000000033,20505.07249999998,25408.84850000001,283.5469999999999,189.77600000000075,616592.425499999,0.0,252.959999999999,236.5675000000005,204240.90749999988,186.8459999999984,170.3000000000003,0.0,199.4700000000016,0.0,237.5825000000013,252.76999999999938,4153898.832999995,3527.370500000007,2064003.396499995,166.97399999999996,652.9860000000026,239.00199999999995,320.6884999999985,185.13599999999812,1564.5070000000014,0.0,231.16950000000043,176.41800000000038,1253.8329999999944,0.0,0.0,519865.9245000022,265.5179999999999,341.2239999999992,1511699.7794999988,1059.48,188.14000000000075,463.4340000000025,321.04799999999864,204.5000000000008,451.95000000000084,291.68050000000306,218.68800000000093,283.70699999999937,297.0209999999998,100037.70749999996,287.5839999999988,0.0,0.0,325982.3605000004,0.0,4914.636499999982,2663.4364999999993,22987.699000000004,4913.796500000008,16729.382999999973,273.5459999999988,0.0,0.0,0.0,251.25100000000054,421.4799999999981,190.18199999999882,242.7939999999994,
3,315.0799700999484,0.25936619496855345,1446860.0829999994,1523187.4845,1965195.891,1183081.2635000006,1172618.9980000006,1641425.404,1603618.4880000008,2254203.6899999995,1609671.279999999,1001182.853,2610363.988000001,1450400.2400000002,1529258.7575,1653824.4975000003,1466757.7425000006,1445606.1615,1749221.8865000003,2065514.288,1829499.375,1777827.2745,1919764.6015,2673965.618500001,1864066.2955000002,1066728.448,1521126.642,1501024.5905000006,1143006.4660000002,177754.10800000007,1026448.5805,1501840.3195,756223.4289999999,1631717.8334999997,1790327.8090000001,1519075.5435,1048728.6180000002,1121796.6940000006,1219300.7775,1372856.3194999998,1343022.5609999998,1820805.4499999997,1554228.4070000006,1283220.5319999994,1502247.7030000002,1740436.8735,1616209.9520000003,2539701.4405000014,1328106.1705000002,1483130.686999999,1186100.7765000004,1606251.5469999998,1899433.4124999996,1691048.7059999998,2146763.425,2359101.2989999983,1615863.9370000004,1102394.9995000002,1598285.415,1525587.8899999997,2051798.047,1299788.6555,1469928.8235,1955600.832,1585412.581,1424794.977,2590316.368,2662233.3814999987,1803358.805500001,1717638.2080000006,1288017.8895000005,1430822.2785,1678666.316,1692093.0499999996,3040057.579499998,1280972.8960000002,262829.9790000001,1079828.8585,1560923.54,2499363.232,1776846.4825000004,2009871.475,1812117.422,1903566.9525,411486.72650000016,527176.0615000001,1598086.7845000003,375110.5305,2399491.2904999987,1764776.554,2931490.5194999995,1959286.7215,1393945.3739999998,2769462.016499999,1674507.9260000002,1310225.8839999996,1341761.2304999998,1388074.3215,1218542.2069999995,1343209.1429999992,1605511.3375,2278872.4175000004,595.32,1461232.3025,1099.206,1848519.6805000002,1431494.147,1626825.5754999998,
4,247.1666866301936,12.173744182389939,952231.9204999835,1133723.256999992,1111134.2820000094,938230.0429999965,1082634.296500015,1024965.0894999969,1147153.079500008,1013255.0460000149,1087719.5529999998,1101297.8630000015,1044863.8660000094,957078.4810000084,1117546.5094999922,1065551.0584999986,1127688.6540000006,1076677.168999993,1041383.8165000068,1019465.6055000131,1091760.531000001,1046144.064999993,1054743.6984999937,1073776.075500009,974224.5004999916,1169075.0824999942,975010.2094999905,1102394.2854999993,961735.0289999926,983876.9599999906,1135603.550999989,955105.4779999985,1011742.1639999945,1104134.3234999941,1080395.686000008,953265.9504999972,1130348.3099999828,995711.983000006,953779.2545000012,959335.1735000012,1125258.9920000068,1135307.4525000008,1101366.8039999965,1154692.4610000104,1135774.9835000124,949915.4324999923,1150680.7710000116,823796.1105000007,1062754.26950001,1163103.1085000024,965327.1904999978,1133795.053499989,1129461.6444999862,952330.5334999977,1007546.382000004,950547.7739999994,1065078.2175000017,1049599.8279999965,840177.7335000073,1009689.6055,1054240.4280000029,981224.5570000124,1015240.416499993,928594.975000005,863052.9164999919,1028412.501000001,1025762.3140000093,1062174.3080000111,1070451.6344999971,1113733.332499993,1047473.2780000084,1001006.8959999988,858976.7259999969,1045222.4370000092,873360.7420000036,845552.2999999892,1079624.544999986,1089479.391500005,1015526.4369999972,69157.71900000023,1035745.2750000015,873922.1039999948,1082884.506500008,1087529.0130000084,903678.5915000004,842262.3209999994,933832.8445000015,992382.0099999991,1022332.5299999979,971601.2205000116,860009.6659999966,995739.6435000055,1112454.6745000137,1118026.6065,1052061.9955000018,1124636.0740000024,1001586.7509999952,945103.83250001,1099836.51450002,986392.3204999969,1002204.5464999898,972821.6995000108,918444.8919999956,1048410.5749999944,1035310.0079999992,1044972.3835000092,983277.7279999972,1121951.162500002,
5,775.8632386903801,2.3210428070175437,1359142.731499999,1601.9640000000022,0.0,0.0,333038.78049999947,10686.512499999966,790337.0500000002,0.0,206323.40949999925,882004.8039999992,1776635.3615,289.3064999999994,1813680.3079999997,1654648.0565000025,16286.897500000045,1734527.9265000024,1732521.372999998,87295.17099999991,1091066.1985,1889777.5109999997,743721.1770000011,673990.9499999997,13040.950500000052,1381014.6,16436.56000000003,1589112.33,1947759.7995000016,166.56600000000134,973.852499999996,2134469.740999999,209492.19500000004,1754266.6500000004,657077.6930000008,0.0,3773593.539000001,0.0,1608401.7435000006,310162.7970000008,53500.887000000075,44496.32850000001,95745.2565,1641776.2145000026,1855462.7889999985,356.0325000000006,1951272.236,16955.4325,913812.0419999972,566380.3659999997,1273849.590000001,0.0,14620.351499999986,0.0,5087767.6800000025,22197.163000000026,1197387.3485000005,1334920.440500001,4238048.945,2138622.618999998,1043368.5610000008,0.0,1617967.2034999991,2067572.8420000018,125883.12499999965,2198080.4120000005,1005641.9604999982,3502198.339999998,702732.9349999995,1555012.2859999996,1759766.035500001,1880036.2225000027,28267.282499999987,2127.615500000001,312490.7125000005,111270.75950000025,171.9900000000006,1069923.4365000005,0.0,0.0,2388453.0664999993,2574432.3404999995,1989669.0869999984,584963.3235000004,1457124.7815000028,397824.54200000025,652604.7414999995,159421.73700000005,2251493.486499996,2117.839500000004,0.0,4038621.2194999987,1497041.8710000003,175.53350000000094,1370958.8599999992,1763085.3624999968,180414.55499999961,315083.5289999997,1664945.8804999988,4113098.0450000037,1256845.6174999995,648.0625000000006,1953360.2205,168.61099999999996,199.28700000000043,803008.5575000009,264829.8800000003,1794341.5514999987,
6,775.8632372833513,2.4922535580524343,773364.8940000004,1613.4134999999994,0.0,0.0,199967.10899999988,7842.87249999998,507036.3584999979,0.0,24682.631000000107,551685.2065000018,1353869.227500005,444.04699999999985,1149001.058999999,1161985.010000003,11407.198000000002,1012211.871999999,1042140.339499998,48896.01349999993,723607.7825,1198425.7629999986,443115.82499999955,393460.55300000095,8271.099999999975,833819.4564999999,8656.109499999955,953048.0359999995,1330251.1830000014,0.0,686.7000000000012,1399851.1824999987,124726.62549999947,1147967.3740000038,395015.11749999993,0.0,918257.3929999977,0.0,982171.5925000015,211486.34850000046,29483.773500000014,21446.44649999997,62109.818999999865,1017242.8840000031,1227950.9110000005,0.0,1315061.8570000012,10208.960999999985,529597.6155000002,308184.7195000009,706211.6759999975,0.0,9785.298500000035,0.0,3270601.350999999,13275.705999999973,709311.403999998,855342.9470000034,2839232.4805000005,1481584.4355000032,602002.0059999987,0.0,1248911.810999999,1246919.126999998,96301.9500000001,1719310.6404999988,518709.01550000143,2632671.383999996,386816.13350000064,1110252.1605,1220261.302499999,1229625.3545000013,23056.65500000004,889.4339999999962,203813.903,69845.29400000011,0.0,681852.9459999987,0.0,0.0,1601109.4420000012,1574527.5050000048,1324930.9205000012,320792.48850000056,986064.3609999977,296403.07799999986,341135.1105000002,118028.88649999973,1371609.8025000014,995.5680000000017,0.0,2523474.036499999,1044848.5780000002,0.0,821529.1525000004,1214835.6704999988,116538.07200000025,179490.67600000033,996176.3144999985,2813547.625999997,846536.7259999996,0.0,1305174.921000001,0.0,199.28700000000043,502447.1325000014,157010.07899999994,1298310.2310000032,
7,203.0528234503345,0.2428474842767296,443751.90349999984,438992.73999999976,462561.35900000023,333900.9159999999,475487.31500000024,535142.608,517776.3050000002,262468.68099999987,574043.0394999997,172030.88850000012,279182.84850000014,649886.201,579319.6190000003,507511.3195,373700.2145,431735.945,412935.5504999999,348554.0584999998,392671.3425000001,350119.417,427206.2214999999,202654.53300000008,607004.3745000004,474924.76099999994,751428.7204999998,571896.838,316409.636,201398.57100000003,426950.5265000001,467703.30249999993,368297.809,302258.343,494381.4489999999,480724.5555000001,123293.1235,373597.8424999999,456728.73800000024,383452.56000000006,476690.775,454574.32099999976,544097.4850000002,355354.8035,426741.32699999993,343642.526,422436.5479999999,71151.67050000001,458969.19750000007,596273.5929999998,512449.0295,415679.1204999999,596933.4169999999,437328.3609999999,737239.2934999998,426984.61399999977,368970.3205,347272.3895,430580.66750000016,344070.604,542498.6275000001,163470.9149999999,247466.908,214037.90900000016,508884.3675000003,43528.993500000026,239532.4625,2581431.9850000003,628840.1314999999,453400.5730000001,315931.4755000001,578307.0650000002,768670.8565000006,345311.50949999987,355450.4395,535759.6920000003,405183.2355,202881.78200000012,2387076.746500001,417376.4915,201061.32200000007,334681.5825,641178.6224999998,736960.4274999999,283745.988,309836.7035,364481.8389999999,288699.73999999993,384643.2604999999,334966.4285000001,18664.675,688745.6195000003,334279.95900000003,394845.32449999993,348712.068,431056.58549999975,447643.367,338537.29799999995,420490.84049999993,291954.566,394589.57599999994,947982.8295,1191552.001,1168949.639,2011160.7405,678031.579,700647.2490000001,331645.2824999998,
8,286.1437602747652,5.507445035460994,885417.1945000023,36590.297499999964,37584.36700000012,43730.412499999984,3162.017999999975,740478.7444999984,1434773.4614999988,6339.662000000006,8360.887499999957,28781.684999999932,2199.7475000000227,66138.31449999992,1830.2400000000064,12233.34350000001,2099.6295000000296,1825.8765000000246,11858.260500000008,11197.007999999958,10481.306000000011,1442.9520000000055,13263.295999999938,1562.302499999997,73532.32299999957,31456.656499999903,4508.093999999988,0.0,22487.564500000142,35870.335000000116,0.0,9446.313500000017,5424.663000000035,921.399000000009,10444.08499999999,34121.02300000005,7534.405999999968,72938.39799999994,32538.21600000024,35424.25550000001,0.0,101603.42499999977,47921.70099999995,16326.740000000222,0.0,0.0,33179.66900000008,24761.22199999994,80825.79150000024,29407.462499999932,25853.517500000053,10273.489999999932,63086.314500000175,838524.0600000062,395685.2515000014,30022.01849999997,81350.2519999995,6949.191000000077,16863.502500000144,25807.844499999974,288782.8525000011,3373.4800000000123,2786.108000000011,1549.9799999999998,151346.9514999993,3062.8134999999434,7140.352999999996,126976.50650000034,11538.223999999998,59754.839000000225,1282.0890000000334,0.0,29863.832999999748,7760.649500000001,2439.575999999984,4695.893499999994,1036.979999999995,0.0,4997.870999999907,1171.936500000007,0.0,40405.98700000004,89989.07400000024,3749.188000000018,1184.2739999999949,695.9375000000125,70739.15000000027,25692.061000000078,18218.456499999982,0.0,122115.37100000016,18756.745000000028,52198.866500000215,0.0,1329.6690000000024,15649.350500000022,10561.01999999996,0.0,13871.905000000104,0.0,52095.98700000004,373836.09949999937,105708.8000000012,216976.48150000093,71942.25700000023,31255.289999999884,54233.25699999987,52197.18299999988,
11,141.9590432793982,12.271404914529915,1149525.3659999943,1522557.247000007,1558569.584999996,1467039.063499997,1690736.2590000003,1437002.6330000097,1508514.9079999975,1231838.0875000036,1525314.9634999991,0.0,1450965.595500004,1512731.8239999998,0.0,1558222.2930000038,1471382.807499999,1105927.8250000044,359453.69249999506,1498439.6669999938,1530544.678000006,1149968.437999998,1544463.3345,1510395.1924999966,1411271.5580000062,0.0,1158229.7664999948,0.0,0.0,1379351.692499999,0.0,1404430.198999992,0.0,1547777.87,1551287.0779999937,1205299.1110000012,0.0,0.0,1444475.606,349438.394500008,1552533.7889999913,1564373.1650000026,1586173.481999993,1518022.7354999934,1504939.0934999988,1426152.354500006,1556105.035999995,0.0,0.0,1521113.0869999982,1175367.6615000034,214422.00000000183,1611931.069500011,383197.7409999985,355030.50200000295,1550549.9400000041,1543858.927,0.0,3832.721499999997,1667503.27,1667815.9770000018,0.0,0.0,0.0,1426432.4960000038,0.0,1483305.126999994,1495357.9154999985,1526605.4560000002,1589145.3710000056,1598667.2759999973,0.0,1404009.294000009,1603679.9259999963,1356299.7880000095,0.0,1382878.2720000064,0.0,0.0,167450.99400000108,0.0,0.0,1556426.00649999,1471350.5549999988,1494405.5685000056,1526185.6285000022,0.0,1335668.1740000036,1547818.8319999976,0.0,0.0,0.0,274013.30549999827,1622804.185500004,0.0,1565729.6109999958,370.0639999999959,0.0,1439849.8794999996,1378957.179000002,1538820.5704999997,1519889.6134999956,1447715.320500004,1576348.2339999976,1437714.586499996,1600124.474499989,338110.80700000684,1559849.3459999969,
13,141.9577239303897,12.258759071729958,355913.8740000121,368688.3410000086,1477.2250000000408,1595750.4494999957,1722502.9390000002,1556048.1400000069,1304216.274500011,380788.5064999914,1609907.5100000019,1627340.0190000003,248741.55949999852,0.0,1481951.655999999,0.0,237887.4880000087,389547.32249999576,1495814.1689999981,0.0,0.0,387267.32950000523,0.0,0.0,0.0,1669433.5969999984,362058.4430000077,1547816.5635000032,1441208.516500004,1357859.3914999987,1652044.974000007,0.0,1558146.041000006,177681.38499999844,0.0,372125.05199999735,1547236.3305000076,1401268.050999995,0.0,1245040.1084999954,276054.6625000005,698.998999999994,1325321.5489999938,1608158.235499996,0.0,0.0,274457.06750000163,1320947.3319999892,1482956.2914999973,0.0,384291.5624999958,1576106.341500002,0.0,1179879.6030000076,1457966.0500000017,1488234.9789999996,1225.3840000000027,1610299.138999998,1406821.7389999991,0.0,0.0,1307335.2534999924,1392016.4154999948,1468779.2569999918,1331222.172000002,1345294.025999998,0.0,1501447.867499994,0.0,0.0,1620825.086499998,1542578.6580000091,1495478.9364999996,0.0,1383594.3705000018,1399325.656000005,1605595.5670000012,1472525.942499996,1457610.3055000056,0.0,1449208.7249999987,1445855.5995000037,0.0,973.3614999999918,1593140.3970000022,1339707.8325000014,1445455.1970000004,1223848.6520000116,5513.8684999998995,1339508.4944999972,1400669.6640000022,1357465.2949999971,1537011.0444999882,602.8750000000052,1512569.438000001,1615812.9539999978,1383273.960500007,1603900.2300000011,1548126.1214999976,1624882.088999997,549.1619999999975,1578081.7564999931,401683.961500004,0.0,0.0,0.0,0.0,0.0,
