row ID	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
1	6815837.6045	1151.145	1853.94	5002274.857	4818547.9605	2638950.403	4746385.98	7315984.4265	7225188.545	1216588.839	3737423.8885	3940837.163	5352399.715	4808212.127	4680398.2265	4317560.487	4275689.9765	2885192.811	4195595.914	5789162.4145	4990058.252	4691809.436	4923216.373	4868624.6275	5813125.824	5096846.3095	8147412.431	7479407.123	4069097.945	4070994.756	4837176.294	4922034.4115	3530064.5265	4825697.582	4960517.1725	4548510.259	4918271.8075	4040552.9075	5482841.4065	6419231.4045
2	0	251.251000000001	0	0	1564.507	451.950000000001	0	463.434000000003	297.021	0	0	248.444000000001	218.688000000001	170.3	22987.699	16729.383	616592.425499999	1529.074	4914.63649999998	4153898.833	2185024.09050001	273.545999999999	242.793999999999	421.479999999998	237.582500000001	252.769999999999	320.688499999998	166.974	3860183.43600001	1273117.02	199.470000000002	0	0	705.138999999998	204.500000000001	176.418	0	231.1695	279.564999999999	334.765
3	1919764.6015	1099.206	595.32	1501840.3195	1803358.8055	411486.7265	1631717.8335	2009871.475	2399491.2905	1674507.926	1048728.618	1143006.466	1598086.7845	2146763.425	1388074.3215	1343209.143	1328106.1705	756223.429	1310225.884	2051798.047	1603618.488	1605511.3375	1626825.5755	1848519.6805	1598285.415	1525587.89	2590316.368	1955600.832	1609671.28	1172618.998	1615863.937	1717638.208	1066728.448	1450400.24	1903566.9525	1430822.2785	1445606.1615	1288017.8895	1653824.4975	1829499.375
4	1054743.69849999	1035310.008	918444.891999996	955105.477999998	1070451.6345	903678.5915	1104134.32349999	873922.103999995	1022332.53	1052061.9955	1130348.30999998	961735.028999993	933832.844500002	1007546.382	945103.83250001	986392.320499997	1062754.26950001	1011742.16399999	1124636.074	1054240.428	1147153.07950001	1002204.54649999	1121951.1625	1044972.38350001	840177.733500007	1009689.6055	1025762.31400001	928594.975000005	1087719.553	1082634.29650002	1065078.2175	1113733.33249999	1169075.08249999	957078.481000008	1087529.01300001	1001006.896	1076677.16899999	1047473.27800001	1065551.0585	1091760.531
5	743721.177000001	199.287	1953360.2205	2134469.741	702732.934999999	1457124.7815	1754266.65	2574432.3405	2251493.4865	1370958.86	3773593.539	1947759.7995	652604.7415	5087767.68	315083.529	4113098.045	913812.041999997	209492.195	1763085.3625	1043368.561	790337.05	1256845.6175	1794341.5515	803008.557500001	4238048.945	2138622.619	1005641.9605	2067572.842	206323.409499999	333038.7805	1197387.3485	1555012.286	1381014.6	289.306499999999	584963.3235	1880036.2225	1734527.9265	1759766.0355	1654648.0565	1091066.1985
6	443115.824999999	199.287	1305174.921	1399851.1825	386816.133500001	986064.360999998	1147967.374	1574527.505	1371609.8025	821529.152500001	918257.392999998	1330251.183	341135.1105	3270601.351	179490.676	2813547.626	529597.6155	124726.625499999	1214835.6705	602002.005999999	507036.358499998	846536.726	1298310.231	502447.132500001	2839232.4805	1481584.4355	518709.015500001	1246919.127	24682.6310000001	199967.109	709311.403999998	1110252.1605	833819.4565	444.047	320792.488500001	1229625.3545	1012211.872	1220261.3025	1161985.01	723607.7825
7	427206.2215	2011160.7405	1191552.001	467703.3025	628840.1315	283745.988	302258.343	334681.5825	384643.2605	348712.068	123293.1235	316409.636	364481.839	737239.2935	338537.298	291954.566	458969.1975	368297.809	431056.5855	542498.6275	517776.305	394589.576	331645.2825	678031.579	430580.6675	344070.604	239532.4625	214037.909	574043.0395	475487.315	368970.3205	453400.573	474924.761	649886.201	736960.4275	578307.065	431735.945	315931.4755	507511.3195	392671.3425
8	13263.2959999999	71942.2570000002	105708.800000001	9446.31350000002	11538.224	1184.27399999999	921.399000000009	40405.987	18218.4565	1329.669	7534.40599999997	22487.5645000001	70739.1500000003	395685.251500001	0	0	80825.7915000002	5424.66300000004	15649.3505	288782.852500001	1434773.4615	52095.987	52197.1829999999	31255.2899999999	16863.5025000001	25807.8445	7140.353	1549.98	8360.88749999996	3162.01799999998	81350.2519999995	59754.8390000002	31456.6564999999	66138.3144999999	3749.18800000002	0	1825.87650000002	1282.08900000003	12233.3435	10481.306
11	1544463.3345	1437714.5865	1447715.3205	1404430.19899999	1526605.456	1494405.56850001	1547777.87	0	1547818.832	0	0	0	0	355030.502000003	0	1378957.179	0	0	1565729.611	1667815.977	1508514.908	1538820.5705	1559849.346	1600124.47449999	3832.7215	1667503.27	1483305.12699999	0	1525314.9635	1690736.259	1543858.927	1589145.37100001	0	1512731.824	1471350.555	0	1105927.825	1598667.276	1558222.293	1530544.67800001
13	0	0	401683.961500004	0	0	1593140.397	177681.384999998	1445855.5995	5513.8684999999	1512569.438	1547236.33050001	1441208.5165	1445455.197	1457966.05	1603900.23	1624882.089	1482956.2915	1558146.04100001	1615812.954	0	1304216.27450001	549.161999999998	0	0	1406821.739	0	0	1468779.25699999	1609907.51	1722502.939	1225.384	0	1669433.597	0	973.361499999992	1542578.65800001	389547.322499996	1620825.0865	0	0
14	600820.148500004	79510.0505000007	71980.5090000004	533659.8285	551157.815500003	72470.9195000001	601331.422500006	73905.3425000005	528195.793499999	499943.245500003	584918.751500001	547485.2405	64757.9005000005	576469.127000003	592312.869000003	588660.673499999	545544.737	560448.574000005	596011.433	594656.363000002	546565.412500001	527622.038500004	592346.436	556672.2625	77714.4424999999	572450.007999995	591654.759000001	540252.928500001	550201.733499998	637914.130499995	543504.995999998	549186.007500003	587903.186999999	597791.036999993	534640.461000003	480236.699500001	632942.772	578804.941499996	624375.282999996	604528.009
15	824169.6645	1697822.7305	1587890.602	646378.888	678872.3435	833390.1155	566220.546	716939.1065	640320.524	282284.807	306512.378	365447.229	463364.0245	4461750.488	356533.98	435741.066	389225.3565	247884.7055	477491.914	827036.309	575963.7555	485884.2955	644976.4045	576132.883	232373.39	203932.022	584868.172	478972.89	1453996.968	416797.130999999	845389.747	931605.3165	340859.2425	730942.981	546509.454	335099.2815	683426.0075	690816.0975	702894.545500001	535114.6205
18	412411.698	0	796233.23	888715.5965	397011.1055	704674.840000001	813621.651	989790.65	965456.379999998	700443.706	863183.508499998	861245.3015	370827.722	420060.495	202373.473	656365.76	503770.379499999	137487.1595	829419.672499999	513399.223	434343.743	647541.604	882974.097499999	439686.7995	310410.496000001	920934.191	495990.932999999	950067.560500001	146719.496	208204.85	625999.974	753350.573	715328.7925	580.380499999998	328597.4365	864045.632000001	154196.3615	794286.3915	825826.877	596753.0655
19	703457.688500004	1387063.22850001	1812645.07099999	893008.998999998	1780353.772	123934.539500001	345874.793500001	287622.734000001	535307.4435	350861.922999998	439879.125500001	358988.452000001	311337.581499997	4015240.0785	511177.317500002	497734.819999999	145650.089499999	430227.202499999	1154392.101	1410637.211	644346.488500001	587015.607499999	672549.459	566172.3795	415962.053000003	979663.3325	1041318.28349999	607388.429500002	1499853.385	511853.494499996	829541.373000001	1029610.178	440174.901499999	681273.030999999	1475968.797	765713.3575	1130400.0325	930181.139999997	732778.715999996	787640.291000001
