row ID	s1_BD6_01_51095.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
1	6331154.6055	4405023.085	3644827.2085	4311240.565	3342413.2565	3944527.6135	3336891.927	4661618.289	2900840.3895	5275151.0955	4997681.7065	10756793.4035	5503699.198	4758573.247	3753324.6665	4466977.613	5046216.464	4419849.337	5196951.5005	3865451.748	4833716.078	4272390.338	4782535.0825	4140432.5905	5331415.426	4196569.7435	8091613.4595	7972110.582	4607068.6945	4653864.2425	4063112.0375	3441207.218	1114834.215	4680577.5875	4264384.678	1405349.9595	4666947.5655	6085863.4905	5140152.9295	5579469.132
2	0	239.002	312.667	188.140000000001	341.223999999999	0	0	371.318	2063.9625	283.547	0	287.583999999999	25408.8485	20505.0725	647548.013000001	1792.131	7282.6035	4913.79650000001	186.845999999998	1481959.169	0	1929.8845	0	252.959999999999	236.567500000001	0	317.772000000001	0	3527.37050000001	2064003.39649999	198.924000000001	0	0	321.047999999999	2473.82900000001	265.518	292.665	192.634999999998	0	211.108500000001
3	1965195.891	1424794.977	1026448.5805	1776846.4825	1079828.8585	1219300.7775	1461232.3025	1501024.5905	177754.108	1616209.952	1393945.374	2931490.5195	1740436.8735	1502247.703	1121796.694	1372856.3195	1519075.5435	1218542.207	1691048.706	1446860.083	2278872.4175	1283220.532	1483130.687	1186100.7765	1606251.547	1102394.9995	2254203.69	2610363.988	1299788.6555	1469928.8235	1183081.2635	1001182.853	1523187.4845	1812117.422	1529258.7575	262829.979	1466757.7425	1777827.2745	1692093.05	1749221.8865
4	1111134.28200001	1028412.501	1135603.55099999	1035745.275	1089479.39150001	953779.254500001	1048410.57499999	1102394.2855	983876.959999991	1150680.77100001	1112454.67450001	860009.665999996	949915.432499993	1135774.98350001	995711.983000006	959335.173500001	953265.950499997	1099836.51450002	952330.533499998	952231.920499983	972821.699500011	1154692.46100001	1163103.1085	965327.190499998	1133795.05349999	1049599.828	1013255.04600001	1044863.86600001	981224.557000012	1015240.41649999	938230.042999996	1101297.863	1133723.25699999	1082884.50650001	1117546.50949999	1079624.54499999	1127688.654	1046144.06499999	1045222.43700001	1041383.81650001
5	0	2198080.412	973.852499999996	2388453.0665	1069923.4365	1608401.7435	168.611	1589112.33	166.566000000001	1951272.236	1497041.871	0	356.032500000001	1855462.789	0	310162.797000001	0	1664945.8805	0	1359142.7315	648.0625	1641776.2145	566380.366	1273849.59	0	1334920.4405	0	1776635.3615	0	1617967.2035	0	882004.803999999	1601.964	1989669.087	1813680.308	171.990000000001	16286.8975	1889777.511	2127.6155	1732521.373
6	0	1719310.6405	686.700000000001	1601109.442	681852.945999999	982171.592500002	0	953048.036	0	1315061.857	1044848.578	0	0	1227950.911	0	211486.348500001	0	996176.314499998	0	773364.894	0	1017242.884	308184.719500001	706211.675999998	0	855342.947000003	0	1353869.2275	0	1248911.811	0	551685.206500002	1613.4135	1324930.9205	1149001.059	0	11407.198	1198425.763	889.433999999996	1042140.3395
7	462561.359	43528.9935	426950.5265	201061.322	202881.782	456728.738	1168949.639	571896.838	201398.571	422436.548	334279.959	18664.675	343642.526	426741.327	373597.8425	383452.56	480724.5555	420490.8405	437328.361	443751.9035	947982.8295	355354.8035	596273.593	512449.0295	415679.1205	347272.3895	262468.681	279182.8485	163470.915	247466.908	333900.916	172030.8885	438992.74	641178.6225	579319.619	405183.2355	373700.2145	350119.417	345311.5095	412935.5505
8	37584.3670000001	3062.81349999994	0	0	0	32538.2160000002	216976.481500001	0	35870.3350000001	33179.6690000001	52198.8665000002	122115.371	0	0	72938.3979999999	35424.2555	34121.0230000001	13871.9050000001	838524.060000006	885417.194500002	373836.099499999	16326.7400000002	29407.4624999999	25853.5175000001	10273.4899999999	6949.19100000008	6339.66200000001	2199.74750000002	3373.48000000001	2786.10800000001	43730.4125	28781.6849999999	36590.2975	89989.0740000002	1830.24000000001	1036.98	2099.62950000003	1442.95200000001	7760.6495	11858.2605
11	1558569.585	0	0	0	0	1444475.606	1576348.234	0	1379351.6925	1556105.03599999	274013.305499998	0	1426152.35450001	1504939.0935	0	349438.394500008	1205299.111	1439849.8795	383197.740999998	1149525.36599999	1519889.6135	1518022.73549999	1521113.087	1175367.6615	214422.000000002	0	1231838.0875	1450965.5955	0	0	1467039.0635	0	1522557.24700001	1556426.00649999	0	1382878.27200001	1471382.8075	1149968.438	1603679.926	359453.692499995
13	1477.22500000004	1345294.026	1652044.97400001	1449208.725	1472525.9425	0	0	1547816.5635	1357859.3915	274457.067500002	1537011.04449999	1400669.664	0	0	1401268.051	1245040.1085	372125.051999997	1548126.1215	1179879.60300001	355913.874000012	1578081.75649999	1608158.2355	0	384291.562499996	1576106.3415	1610299.139	380788.506499991	248741.559499998	1307335.25349999	1392016.41549999	1595750.4495	1627340.019	368688.341000009	0	1481951.656	1605595.567	237887.488000009	387267.329500005	0	1495814.169
14	562221.957499994	73469.6319999997	586962.934999998	53752.2359999999	550736.724500007	541588.355499997	601724.867499998	587162.377999998	69063.9865000002	565386.303500002	566895.8085	61374.7525000007	606077.3755	586872.507	512418.344999998	512882.504499996	575432.267499993	611981.056500001	596091.558499997	586108.982000006	63078.3799999995	586332.797500002	566376.260000002	584827.372499998	588635.413000001	601289.636500001	618533.372499995	536823.558499996	71634.0079999997	56652.1840000001	531097.307500001	621579.233999995	563616.434	555086.981499999	589252.517999997	472451.493500005	614145.937499997	612971.641500001	557936.657000004	587344.238999997
15	705417.43	631274.836	206645.299	749344.036	218388.371	692612.38	4818537.0735	504185.196500001	1060851.4225	543940.2945	445740.0155	617481.961	471905.218	485053.219	410704.9445	622647.334	640318.133	543678.5595	792287.486	377651.304	5048357.6835	460815.296	557601.7425	622002.6625	287145.4155	182829.141	567165.459	764407.2735	602671.573	843657.428	546608.406	377279.8625	631904.639	1090273.175	518985.762	332438.533	624644.3935	880518.5695	677345.299999999	720214.815
18	0	891670.5525	926.702499999996	949315.521499999	568953.5125	738101.408	0	779353.436	0	956070.976999999	703965.0565	207.5815	0	895381.116	181.2075	202795.7135	0	775119.9745	361.5545	687525.0025	0	729293.0245	319708.541	655263.891000001	215.101999999999	692011.48	0	909250.862999999	0	788795.5515	0	508586.1695	1747.613	824255.956	831828.309	0	10535.997	828712.687	1128.2145	766714.079999999
19	659257.7295	1106349.2795	388042.263499999	582413.574499998	139972.545	378458.401999998	4487194.2075	428045.847500001	715695.925499997	541811.885	251970.548499999	669241.338000004	453583.052	557414.420499998	158671.334	141837.734	1211844.863	1063525.73	918049.061000005	358318.7205	6197400.2995	537914.553500001	614634.396499997	654765.422500002	743278.746999999	388686.235500002	760102.8875	785391.726999996	714563.065	1054090.047	512554.488000001	265319.485	618820.625999999	634070.326500001	720370.844	923014.415000002	770633.948000005	1352885.677	1091412.611	807438.731499997
20	0	591443.108	0	541364.344	330082.102499999	407966.226500001	0	413424.0515	0	469821.224500001	442370.9115	0	0	442793.4455	181.2075	114778.0575	267.8905	424090.003499999	0	348051.8115	0	418350.959000001	174498.8755	342245.884499999	0	397539.262000001	0	520374.073000001	0	442729.045499999	0	282004.650500001	487.228500000001	542347.3495	451681.959499999	0	5416.051	483846.251	376.739999999998	422007.107499999
22	477922.008499997	0	125456.877000003	0	589000.835500006	245625.642500006	307720.915499994	498754.833500001	675723.647	373211.193000005	241128.529500001	0	235247.535500002	245906.744999998	223811.796000003	0	118846.514999999	118630.939500003	245973.431	235705.283500004	412004.745500001	246746.386	246202.064500003	117935.209499996	251845.740999996	243523.644999997	249334.739499992	247085.742499999	0	0	243374.036500007	242173.246	119357.602999994	251852.475000003	240528.278000002	245118.975000004	493401.187000007	371725.619999997	358820.355499998	501354.04
23	368220.554500002	0	0	0	0	253903.110000004	365766.238999999	377657.458500001	360722.944000002	753135.308000005	348560.380000006	0	244012.191999999	381301.411499998	342938.792999999	0	630051.882500002	363455.425499995	373426.657499999	364498.634499995	56318.1299999998	375485.880499999	504303.204500003	241780.718000002	0	0	503853.037999999	754814.649999995	0	0	250100.114999998	366372.7085	367440.804999999	375767.202000002	243362.589500003	364210.337000001	626310.152000006	756507.282000006	598979.635499996	376138.638000003
24	3292664.82	0	0	0	0	502092.205999993	237866.941999999	0	237680.957000001	1850045.8125	0	0	359730.482000002	242946.737999993	0	0	490360.176499994	120157.315500001	0	360946.534999999	307352.098999997	122138.527999995	368550.725499997	840466.309999996	0	0	366431.827000003	123735.539999999	0	0	362815.371999999	0	1293987.764	367307.571499996	0	597009.121999996	373212.910999999	368437.001500003	359237.218499999	0
