row ID	s1_BD6_01_51095.mzXML Peak area	s3_repeat_BB7_01_51502.mzXML Peak area	s48_BD12_01_51107.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s53_repeat_BB10_01_51504.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s61_repeat_BC10_01_51509.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s68_BA11_01_51029.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s73_BD8_01_51099.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s78_rerun_BC12_01_51132.mzXML Peak area	s83_BD3_01_51089.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s8_repeat_BD6_01_51285.mzXML Peak area	s103_rerun_BC8_01_51134.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s91_BA11_01_51168.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s95_repeat_RA3_01_51493.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s13_repeat_BE4_01_51280.mzXML Peak area	s18_BG7_01_51491.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s113_rerun_BA4_01_51154.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s23_repeat_BD5_01_51511.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s28_BE4_01_51115.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s33_repeat_BE7_01_51515.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s38_BE5_01_51117.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s43_BE10_01_51125.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
1	6331154.6055	5846507.625	5896353.8395	4405023.085	3644827.2085	2766917.6735	4311240.565	3342413.2565	3944527.6135	2161414.005	3336891.927	4479273.741	4661618.289	2900840.3895	6054416.4265	5275151.0955	4997681.7065	10756793.4035	5059549.8755	4328341.175	5503699.198	4758573.247	3753324.6665	4466977.613	5046216.464	4419849.337	3754281.15	4758913.3875	5196951.5005	3865451.748	4833716.078	4499466.9465	4272390.338	4782535.0825	4567492.6475	4140432.5905	5331415.426	4196569.7435	12240599.3895	8842687.41	8091613.4595	7972110.582	5308998.4915	4607068.6945	4653864.2425	4063112.0375	5524944.9625	3441207.218	1114834.215	4680577.5875	6067125.8705	4264384.678	11490486.7235	1405349.9595	4666947.5655	9787146.642	6085863.4905	5140152.9295	7673422.152	5579469.132
2	0	1253.83299999999	816.852000000003	239.002	312.667	291.680500000003	188.140000000001	341.223999999999	0	283.706999999999	0	173.415999999999	371.318	2063.9625	169.5895	283.547	0	287.583999999999	0	10517.9435	25408.8485	20505.0725	647548.013000001	1792.131	7282.6035	4913.79650000001	2663.4365	87967.3245000001	186.845999999998	1481959.169	0	190.181999999999	1929.8845	0	185.135999999998	252.959999999999	236.567500000001	0	189.776000000001	0	317.772000000001	0	204240.9075	3527.37050000001	2064003.39649999	198.924000000001	652.986000000003	0	0	321.047999999999	0	2473.82900000001	0	265.518	292.665	0	192.634999999998	0	0	211.108500000001
3	1965195.891	1678666.316	1790327.809	1424794.977	1026448.5805	527176.0615	1776846.4825	1079828.8585	1219300.7775	375110.5305	1461232.3025	1521126.642	1501024.5905	177754.108	1820805.45	1616209.952	1393945.374	2931490.5195	1554228.407	1343022.561	1740436.8735	1502247.703	1121796.694	1372856.3195	1519075.5435	1218542.207	1341761.2305	1641425.404	1691048.706	1446860.083	2278872.4175	1431494.147	1283220.532	1483130.687	2662233.3815	1186100.7765	1606251.547	1102394.9995	2539701.4405	2359101.299	2254203.69	2610363.988	1899433.4125	1299788.6555	1469928.8235	1183081.2635	1585412.581	1001182.853	1523187.4845	1812117.422	1864066.2955	1529258.7575	3040057.5795	262829.979	1466757.7425	2673965.6185	1777827.2745	1692093.05	2065514.288	1749221.8865
4	1111134.28200001	858976.725999997	1080395.68600001	1028412.501	1135603.55099999	842262.320999999	1035745.275	1089479.39150001	953779.254500001	992382.009999999	1048410.57499999	975010.20949999	1102394.2855	983876.959999991	1135307.4525	1150680.77100001	1112454.67450001	860009.665999996	1101366.804	1125258.99200001	949915.432499993	1135774.98350001	995711.983000006	959335.173500001	953265.950499997	1099836.51450002	1001586.751	1024965.0895	952330.533499998	952231.920499983	972821.699500011	983277.727999997	1154692.46100001	1163103.1085	1062174.30800001	965327.190499998	1133795.05349999	1049599.828	823796.110500001	950547.773999999	1013255.04600001	1044863.86600001	1129461.64449999	981224.557000012	1015240.41649999	938230.042999996	863052.916499992	1101297.863	1133723.25699999	1082884.50650001	974224.500499992	1117546.50949999	873360.742000004	1079624.54499999	1127688.654	1073776.07550001	1046144.06499999	1045222.43700001	1019465.60550001	1041383.81650001
5	0	28267.2825	657077.693000001	2198080.412	973.852499999996	397824.542	2388453.0665	1069923.4365	1608401.7435	159421.737	168.611	16436.56	1589112.33	166.566000000001	44496.3285	1951272.236	1497041.871	0	95745.2565	53500.8870000001	356.032500000001	1855462.789	0	310162.797000001	0	1664945.8805	180414.555	10686.5125	0	1359142.7315	648.0625	264829.88	1641776.2145	566380.366	3502198.34	1273849.59	0	1334920.4405	16955.4325	22197.163	0	1776635.3615	14620.3515	0	1617967.2035	0	125883.125	882004.803999999	1601.964	1989669.087	13040.9505000001	1813680.308	312490.7125	171.990000000001	16286.8975	673990.95	1889777.511	2127.6155	87295.1709999999	1732521.373
6	0	23056.655	395015.1175	1719310.6405	686.700000000001	296403.078	1601109.442	681852.945999999	982171.592500002	118028.8865	0	8656.10949999996	953048.036	0	21446.4465	1315061.857	1044848.578	0	62109.8189999999	29483.7735	0	1227950.911	0	211486.348500001	0	996176.314499998	116538.072	7842.87249999998	0	773364.894	0	157010.079	1017242.884	308184.719500001	2632671.384	706211.675999998	0	855342.947000003	10208.961	13275.706	0	1353869.2275	9785.29850000004	0	1248911.811	0	96301.9500000001	551685.206500002	1613.4135	1324930.9205	8271.09999999997	1149001.059	203813.903	0	11407.198	393460.553000001	1198425.763	889.433999999996	48896.0134999999	1042140.3395
7	462561.359	768670.856500001	494381.449	43528.9935	426950.5265	309836.7035	201061.322	202881.782	456728.738	288699.74	1168949.639	751428.7205	571896.838	201398.571	454574.321	422436.548	334279.959	18664.675	544097.485	476690.775	343642.526	426741.327	373597.8425	383452.56	480724.5555	420490.8405	447643.367	535142.608	437328.361	443751.9035	947982.8295	700647.249	355354.8035	596273.593	2581431.985	512449.0295	415679.1205	347272.3895	71151.6705	426984.614	262468.681	279182.8485	596933.417	163470.915	247466.908	333900.916	508884.3675	172030.8885	438992.74	641178.6225	607004.3745	579319.619	355450.4395	405183.2355	373700.2145	202654.533	350119.417	345311.5095	348554.0585	412935.5505
8	37584.3670000001	29863.8329999997	10444.085	3062.81349999994	0	695.937500000013	0	0	32538.2160000002	25692.0610000001	216976.481500001	4508.09399999999	0	35870.3350000001	101603.425	33179.6690000001	52198.8665000002	122115.371	47921.701	0	0	0	72938.3979999999	35424.2555	34121.0230000001	13871.9050000001	10561.02	740478.744499999	838524.060000006	885417.194500002	373836.099499999	54233.2569999999	16326.7400000002	29407.4624999999	126976.5065	25853.5175000001	10273.4899999999	6949.19100000008	24761.2219999999	30022.0185	6339.66200000001	2199.74750000002	63086.3145000002	3373.48000000001	2786.10800000001	43730.4125	151346.951499999	28781.6849999999	36590.2975	89989.0740000002	73532.3229999996	1830.24000000001	2439.57599999998	1036.98	2099.62950000003	1562.3025	1442.95200000001	7760.6495	11197.008	11858.2605
11	1558569.585	1404009.29400001	1551287.07799999	0	0	1526185.6285	0	0	1444475.606	1335668.174	1576348.234	1158229.76649999	0	1379351.6925	1564373.165	1556105.03599999	274013.305499998	0	1586173.48199999	1552533.78899999	1426152.35450001	1504939.0935	0	349438.394500008	1205299.111	1439849.8795	370.063999999996	1437002.63300001	383197.740999998	1149525.36599999	1519889.6135	338110.807000007	1518022.73549999	1521113.087	1495357.9155	1175367.6615	214422.000000002	0	0	1550549.94	1231838.0875	1450965.5955	1611931.06950001	0	0	1467039.0635	1426432.496	0	1522557.24700001	1556426.00649999	1411271.55800001	0	1356299.78800001	1382878.27200001	1471382.8075	1510395.1925	1149968.438	1603679.926	1498439.66699999	359453.692499995
13	1477.22500000004	1495478.9365	0	1345294.026	1652044.97400001	1339707.8325	1449208.725	1472525.9425	0	1223848.65200001	0	362058.443000008	1547816.5635	1357859.3915	698.998999999994	274457.067500002	1537011.04449999	1400669.664	1325321.54899999	276054.662500001	0	0	1401268.051	1245040.1085	372125.051999997	1548126.1215	1383273.96050001	1556048.14000001	1179879.60300001	355913.874000012	1578081.75649999	0	1608158.2355	0	1501447.86749999	384291.562499996	1576106.3415	1610299.139	1320947.33199999	1488234.979	380788.506499991	248741.559499998	0	1307335.25349999	1392016.41549999	1595750.4495	1331222.172	1627340.019	368688.341000009	0	0	1481951.656	1383594.3705	1605595.567	237887.488000009	0	387267.329500005	0	0	1495814.169
