row ID	s2_BE6_01_51119.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area
1	6815837.6045	1853.94	5002274.857	4746385.98	7315984.4265	1216588.839	3737423.8885	4808212.127	4317560.487	4195595.914	4990058.252	4923216.373	5096846.3095	7479407.123	4070994.756	4922034.4115	3530064.5265	4548510.259	4040552.9075	5482841.4065
2	0	0	0	0	463.434000000003	0	0	170.3	16729.383	4914.63649999998	2185024.09050001	242.793999999999	252.769999999999	166.974	1273117.02	0	0	176.418	231.1695	279.564999999999
3	1919764.6015	595.32	1501840.3195	1631717.8335	2009871.475	1674507.926	1048728.618	2146763.425	1343209.143	1310225.884	1603618.488	1626825.5755	1525587.89	1955600.832	1172618.998	1717638.208	1066728.448	1430822.2785	1288017.8895	1653824.4975
4	1054743.69849999	918444.891999996	955105.477999998	1104134.32349999	873922.103999995	1052061.9955	1130348.30999998	1007546.382	986392.320499997	1124636.074	1147153.07950001	1121951.1625	1009689.6055	928594.975000005	1082634.29650002	1113733.33249999	1169075.08249999	1001006.896	1047473.27800001	1065551.0585
5	743721.177000001	1953360.2205	2134469.741	1754266.65	2574432.3405	1370958.86	3773593.539	5087767.68	4113098.045	1763085.3625	790337.05	1794341.5515	2138622.619	2067572.842	333038.7805	1555012.286	1381014.6	1880036.2225	1759766.0355	1654648.0565
6	443115.824999999	1305174.921	1399851.1825	1147967.374	1574527.505	821529.152500001	918257.392999998	3270601.351	2813547.626	1214835.6705	507036.358499998	1298310.231	1481584.4355	1246919.127	199967.109	1110252.1605	833819.4565	1229625.3545	1220261.3025	1161985.01
7	427206.2215	1191552.001	467703.3025	302258.343	334681.5825	348712.068	123293.1235	737239.2935	291954.566	431056.5855	517776.305	331645.2825	344070.604	214037.909	475487.315	453400.573	474924.761	578307.065	315931.4755	507511.3195
8	13263.2959999999	105708.800000001	9446.31350000002	921.399000000009	40405.987	1329.669	7534.40599999997	395685.251500001	0	15649.3505	1434773.4615	52197.1829999999	25807.8445	1549.98	3162.01799999998	59754.8390000002	31456.6564999999	0	1282.08900000003	12233.3435
11	1544463.3345	1447715.3205	1404430.19899999	1547777.87	0	0	0	355030.502000003	1378957.179	1565729.611	1508514.908	1559849.346	1667503.27	0	1690736.259	1589145.37100001	0	0	1598667.276	1558222.293
13	0	401683.961500004	0	177681.384999998	1445855.5995	1512569.438	1547236.33050001	1457966.05	1624882.089	1615812.954	1304216.27450001	0	0	1468779.25699999	1722502.939	0	1669433.597	1542578.65800001	1620825.0865	0
14	600820.148500004	71980.5090000004	533659.8285	601331.422500006	73905.3425000005	499943.245500003	584918.751500001	576469.127000003	588660.673499999	596011.433	546565.412500001	592346.436	572450.007999995	540252.928500001	637914.130499995	549186.007500003	587903.186999999	480236.699500001	578804.941499996	624375.282999996
15	824169.6645	1587890.602	646378.888	566220.546	716939.1065	282284.807	306512.378	4461750.488	435741.066	477491.914	575963.7555	644976.4045	203932.022	478972.89	416797.130999999	931605.3165	340859.2425	335099.2815	690816.0975	702894.545500001
18	412411.698	796233.23	888715.5965	813621.651	989790.65	700443.706	863183.508499998	420060.495	656365.76	829419.672499999	434343.743	882974.097499999	920934.191	950067.560500001	208204.85	753350.573	715328.7925	864045.632000001	794286.3915	825826.877
19	703457.688500004	1812645.07099999	893008.998999998	345874.793500001	287622.734000001	350861.922999998	439879.125500001	4015240.0785	497734.819999999	1154392.101	644346.488500001	672549.459	979663.3325	607388.429500002	511853.494499996	1029610.178	440174.901499999	765713.3575	930181.139999997	732778.715999996
20	216927.9335	486817.0455	531111.8635	475093.894000001	524128.989500002	371151.256	463358.0235	650531.428500001	329014.772000001	497155.8685	244513.374499999	451270.673000001	554490.042500001	515321.274499999	110835.986	404121.248	389166.08	519290.392	501952.7285	398191.666500001
22	119862.600500002	248810.365499998	357316.490000001	117959.720000002	37759.4244999982	604731.412000004	121991.940000006	240285.585499996	121350.216	362179.823999999	370542.096499996	244071.075999994	119460.720000006	237723.702500003	376487.879000005	802494.597500002	247086.921999999	240116.164499999	118102.947500002	123847.509000005
23	617456.055500003	111949.392999999	250210.256500003	372757.9145	0	0	0	240126.745999999	373327.636000003	374638.315000007	253341.328500005	366745.089999999	247294.947999994	0	383011.455999999	859413.699500003	254103.614000006	0	122920.267500001	371782.259000006
24	236791.883499999	179217.687499998	120062.943000002	362719.163000001	0	0	0	892816.544500004	1911209.858	2653955.696	243510.673000004	484386.841000001	486585.3505	0	249129.747499998	485394.786500001	0	0	118172.894999999	367361.049499999
25	27342.7335000003	181081.4875	43247.7649999997	17618.5744999998	16446.277	19365.7739999999	23875.5760000001	239036.019999998	28750.7604999997	49693.0840000004	37863.8569999998	64941.4715000003	35575.6379999997	24744.6920000003	26600.6999999997	55796.0895	21118.1775000001	22981.7159999996	51098.9310000003	35042.1784999999
26	1916302.122	3602520.64399999	7871055.03800001	3879740.0305	3675407.994	1798041.3875	1838783.001	661258.416	1689.82500000002	1162766.823	692709.365	3448300.4035	2302681.036	1068.628	558073.3595	2467160.0215	1729816.664	1665.42399999998	5189523.43249999	433104.405999998
27	0	0	0	0	0	0	0	252.714000000002	2303.6035	560.367000000003	251958.332499999	200.982000000001	0	0	274522.552	0	0	0	0	0
28	18255.5924999999	0	56539.8795000001	36905.4124999997	14288.2484999998	15383.4090000003	6115.75200000002	14201.1169999998	8671.64199999985	0	19929.4205000001	527506.340500001	69938.6725000004	412464.052000003	1241.10299999997	70194.2335000011	3364.12549999997	0	8280.9795	21305.0009999995
29	113382.329	0	122457.108999999	51698.1485000001	22556.6645000004	118497.327999999	3711.41000000007	169058.1215	26595.787	803848.5805	108887.306	281214.783000001	114248.466000002	328944.534499996	1296.368	205128.575999999	8015.42749999997	48469.6230000005	11260.6265000001	89709.5305000009
30	576515.716499999	158506.3005	545945.255500001	591452.559	140727.33	540452.9665	592628.6605	551016.876499999	533917.408000001	555926.314	584757.243	541766.101499999	546176.454	548822.305	590831.145	567640.314000002	617767.297999999	540705.005000003	542846.209	577665.676000002
31	425847.572999999	352781.101000001	368280.400999999	317578.897999999	383963.250999999	300175.181000001	660119.124	1058659.179	332728.465500001	581875.263999996	325688.498	320470.400000002	366029.799000002	346965.245000001	364739.353000002	335287.443	346651.863000001	350434.297500001	649129.975499999	306535.550500004
32	357985.6265	342089.223	366277.9655	234702.395	210163.3015	116898.2065	0	1745630.939	243985.437	175233.0765	220390.56	161972.1095	194080.3345	95397.4710000001	217165.8535	5659.92749999999	212251.0885	211336.7635	291526.407	489956.5735
33	31788.3960000003	0	91780.1529999991	79342.753	24459.0019999999	36163.9269999999	18704.0939999999	100890.46	33050.2395000001	525814.065499993	115486.151000001	142887.028999999	251223.5505	619447.851	902.275000000027	143200.243000001	8015.42749999997	46807.9370000008	4556.01600000006	67699.1599999988
34	378879.426999999	62517.3870000002	339560.913	353769.114500002	46178.2749999999	344108.010500001	345771.432499999	448069.149499999	333354.717999999	359826.1265	363900.7935	373962.723000001	322538.13	347130.438499999	363687.269	330845.408	357286.259499999	371354.344000002	368083.524999999	356114.434000002
35	279026.573999999	641403.264999999	308092.408499999	147536.0865	111164.0435	138493.924	130692.815	1629813.223	241149.758000001	307340.259	309717.159500001	243551.140000001	317526.028499999	165043.540499999	243821.5835	466814.825500001	131965.937500001	169006.109	384716.196000001	193785.7815
36	446575.362000002	482348.951000005	712658.949999999	588852.792000002	691731.7245	503664.068499999	267793.677500001	336748.826500004	516273.573999998	387819.387499999	554600.320500002	370042.001999998	356964.451499999	454857.443999998	452026.854999999	298823.449999999	1081157.1435	210762.4175	360149.122499997	149794.549000002
37	352444.021000002	604348.263000006	337476.343999999	343163.701999996	0	262498.092	208400.605500002	137318.447500001	268346.581999996	141478.3085	198537.2875	437196.697	143751.246500002	125542.166000002	561771.789	207758.1425	362974.625000001	138261.107000004	285672.460500003	206060.084999998
38	64745.1824999996	679731.415500002	108838.720500002	184110.3215	588699.968999998	248383.563999998	365847.723	381410.793	196540.450000002	265108.676499999	295723.583999997	546925.429000002	253462.601	601591.122500001	932722.938499998	130495.669499999	124110.218500003	321968.391	267585.137000002	129266.661499998
39	198113.718500004	1200971.09	581384.645000002	450872.213000003	196257.012000002	135077.291999999	230308.481999999	127556.978999997	212931.559000002	337507.690500001	109408.679999999	203669.285499999	193007.143500001	481116.784000001	459769.503999998	299957.931999999	401086.3315	135213.972	420168.114999996	237844.052
40	960.69	2756.1625	2446.5825	2726.5835	105936.8145	1190.635	12487.0545	9435.6955	30114.6125	3264.1715	218120.793	1552.542	6011.393	11005.729	175.373	1767.4035	1121.4485	92052.7350000001	1884.102	600.363
41	42818.5909999999	343480.3735	69459.9469999999	144230.012	130291.1175	0	22140.8305	1031864.876	27988.553	97968.593	341598.539	125401.6955	46717.0395	98793.1345	99565.9719999999	39183.702	61513.4659999999	33328.2165	29900.5200000001	30832.1755
42	257259.525	596441.4895	387319.462499998	378247.280999999	521478.165999999	284223.822499999	525621.893	280670.249000001	340301.578000004	494143.026	110894.299999998	218722.094000001	403854.521000001	136727.514999999	626693.86	139992.7365	133588.471499998	430811.681500001	572552.423000003	253352.802500002
43	327541.232999998	582281.255499999	459589.600999999	374630.019500003	563368.343499999	119941.703999998	281654.393500001	114585.354500002	120870.195999998	365921.306999999	221362.592499998	362180.162499998	294417.228499999	292933.088999999	114625.654999999	350596.713	472792.833500002	396868.384499999	250707.903500003	227574.742499999
44	385328.670499997	203319.645000004	153411.3765	228856.283	101724.225	201457.723000002	178022.211000001	382054.802999998	234575.672	200372.100000003	225690.502500001	209577.998999999	649848.704500001	461980.663499999	226523.847000001	291297.1895	98374.8405000019	219929.6525	281103.025499999	373900.972
45	546542.8485	1182934.6865	360932.799	123322.1815	341592.785	182939.432	121320.467	2648348.951	176918.851	228357.0035	3627.24750000001	466838.108	166051.964	278274.0135	192723.7565	329923.3655	13952.314	156667.9315	299109.4345	382633.064
46	241208.705000001	405509.202999998	337725.575000001	117882.573000001	139699.387	133826.883000001	219882.734000001	1184468.4205	191278.1555	511393.370999998	207014.799500002	359453.629499998	415992.513000001	277802.446500002	166100.989000001	561663.303999999	195119.9475	349230.570499998	352020.597000002	317398.305999999
47	226700.614	512597.948500003	266062.854499998	305572.454	417453.514999998	217100.735	551863.147500001	101284.029999998	220513.801999997	165551.834500001	161418.022000002	279756.346999999	216585.080500001	103201.390500002	220711.345499997	106046.742999999	170182.110000001	102689.862999998	226712.4395	316634.214
48	168956.407000001	77717.9419999953	177776.595000003	505998.726	898208.061000002	337350.666	240072.534499999	330596.422499998	123148.094999999	442372.420000002	285677.760500001	134193.094499997	945371.377499998	118335.532499998	160187.971999997	186705.495499998	113457.053000001	211455.3625	611313.702999998	163079.7865
52	326237.936500002	237278.017999998	197517.306	400802.998000003	290015.819000002	251062.7625	190446.853499999	185343.633999998	112744.493499998	447715.7685	299696.9055	398981.375999999	170058.461499999	311663.424000002	0	207172.649	146419.754000002	481207.827999998	165212.112999999	201125.251500001
53	183452.468000001	153679.730000003	93245.9450000014	90758.8689999996	217741.601500001	141308.37	87432.8489999981	499820.741999999	391730.880999999	160101.006000002	343704.727000001	202389.761000002	97674.858	188617.625999999	102505.241999998	197556.9515	138165.691	105129.068499999	254990.065000001	87968.924500001
54	241904.198000002	77305.0740000005	158904.072	0	444608.397000001	386006.019999999	352943.2765	370187.2675	99849.884999999	102925.835000001	0	418724.258500003	341952.290000002	216349.476000001	140368.646500001	102243.934999998	291789.747999999	754040.890499998	0	88791.7289999995
55	31539.4220000001	0	43855.0160000001	71751.4164999999	13865.8424999998	18427.3275000003	3404.95399999997	38827.5055000004	3714.2205000001	226330.420999998	32124.6855000002	106815.4395	73085.2500000001	102156.817499998	1063.06200000001	18213.4155000009	0	183427.563999999	2811.50699999995	41326.7310000005
56	0	729633.6945	270790.717500001	47586.6719999985	548201.272499999	99216.855999998	167814.1065	167689.247500001	210204.976500001	361876.681999999	0	322849.002499999	131230.825500001	195447.534500001	413407.899	448345.470500002	279571.365499998	228387.218	139120.616500001	80037.2679999988
57	56071.2705	0	15064.7194999996	40517.0935	33229.7250000002	26760.3969999997	1809.43749999994	13875.8239999998	3023.9550000001	228936.672999999	52671.0825000002	66204.1680000003	37350.2255	98612.8935000006	1063.06200000001	21385.4639999998	0	56186.8340000005	5515.44049999993	26992.0040000001
58	95321.564	317850.954000003	134140.419500001	44105.6159999986	260613.182500002	186691.68	43259.8284999993	86009.8050000018	142141.359999999	339901.0815	222724.0375	98250.8004999981	190284.713000001	318001.070000001	187262.321499998	380463.7385	236652.257000001	283754.575500001	95109.5760000007	271273.403
59	82260.0079999983	75278.0860000037	123571.633000001	200849.305	266185.086500003	178156.701000002	164715.240999999	245960.381499999	80156.7975000011	87302.1829999991	115394.866000002	177600.658000002	200691.567000002	86669.8080000002	116097.637500001	79006.5479999982	170277.154000001	122076.5315	163351.3585	80096.0354999992
60	241921.667499998	520574.961	214213.293	372975.827	516835.9045	86386.7204999992	154998.945	209964.599	182618.233000002	182219.2695	84122.9219999988	378237.651500002	321264.905	325220.885	123049.974500001	212846.643999998	212084.814500001	271286.345500001	218431.412499998	86757.5539999989
61	130432.189999999	318989.181500003	123983.949999998	209683.369999998	332243.555499999	79345.976000002	84624.4100000004	40707.7229999994	79839.2264999994	87357.7639999998	79281.1079999988	89418.9384999983	89950.9500000013	42097.25	209247.363499999	421008.561500001	309416.614500002	209926.700499998	267512.269500002	128655.987499998
62	492349.1935	569736.258000002	273327.131999999	45526.5749999997	1130434.4345	492788.842499999	899618.9865	312293.753499999	476509.113999997	320722.2135	259681.155499997	238045.661999997	236049.005000001	956237.657499998	895314.181999997	281567.402499996	310237.670499996	469171.08	769904.73	402785.660500001
63	97182.2289999999	0	129504.3925	188191.9785	62379.8020000001	139993.9455	109199.6745	1751079.422	90191.53	121811.813	153856.1415	80897.1159999998	316314.2085	160144.4915	86284.7069999998	262921.7415	71359.9889999998	78024.1115000001	94174.6654999998	87710.1480000001
64	267339.370499999	428005.936	107015.114500001	76794.8209999996	393449.101499999	155434.6745	186845.789499999	104728.185	158932.349499998	124206.385500001	100712.171500001	164763.056	233144.141	156123.355499999	161189.920999999	325204.4215	355387.766	206098.318500001	278048.0585	235278.562
65	80176.5145000006	272409.0845	78269.9215000002	84998.8480000005	208130.915499999	82624.8889999999	41052.8194999993	229321.0045	40798.1325	43395.7720000004	75095.4164999998	84536.0409999998	42016	84396.121500001	77353.3520000004	42192.8565	85223.3329999995	84223.7260000004	76345.2425000006	44185.6999999996
66	446617.688500001	150686.173	359009.936499999	202881.7295	466105.675999998	328826.260000001	389551.673000002	1391108.33700001	415686.4545	1039148.477	342036.651000001	441093.017000002	493452.043499998	343305.909499999	486618.709999999	544775.954999999	152669.086	388205.127	505744.977999999	415700.788999998
67	83021.7200000019	219450.849999998	165389.679999998	80260.1989999982	342722.237999999	83887.1980000003	340418.269500001	265318.9275	81963.3815000008	344059.199999999	396781.375499999	435156.7465	172550.26	252973.225499999	81544.4510000012	254125.121000002	126653.221500001	234521.376500001	88102.5140000004	166645.434
68	92124.9195000007	53982.2740000027	224134.531000002	95471.836500001	145608.997	110340.099500002	62471.1559999987	134442.470999999	136171.821000001	220926.995	0	110185.811	103770.863000002	249651.002	66812.6785000003	312484.738500001	102495.947500001	178716.0205	161334.057500001	206228.156500001
69	131128.916500001	112082.539999996	64194.5040000005	0	101585.969499999	72592.3050000019	132420.875499999	175616.373999999	198817.369499998	145174.225500001	0	271921.238	110558.859000001	68246.1600000001	234567.628499998	216411.1705	214597.643	235629.827499999	193378.707000001	99237.8699999998
70	122276.483999999	143475.082000002	40698.1215000005	112314.678	222265.830500001	156047.973	286406.944000002	282269.977500001	121582.916	128234.101500001	505686.459999999	303242.669500001	267659.195000001	260069.288999998	156781.772499998	326626.968500003	77270.6824999996	296288.785000001	84735.4425000017	80299.2764999997
71	79801.6459999989	638524.454500006	39384.3505000002	397338.901499999	1301923.22	937290.670499999	38205.5310000008	221217.722999998	572185.533	618820.072499998	38692.5199999997	270933.566500003	192709.206000002	39044.5089999993	38783.8339999992	342850.077999998	533419.504	110715.699500001	652643.076500001	266611.330499997
72	89026.1000000001	128373.989	187576.4455	173186.0805	46626.5345000001	151455.7765	100893.5495	147118.6225	124735.39	176417.2485	95019.4760000001	179652.3055	105260.007	206618.429	39143.512	143614.3125	153821.5285	199801.5715	174478.4715	170369.289
74	160560.269499998	225855.917000001	77155.4160000009	246583.538000002	54247.3059999989	80782.6199999992	217307.891500002	169232.102999998	195314.170000001	166574.429499999	133539.830500001	82694.8000000016	114925.157500001	234635.367999999	294371.431999999	112894.682	194073.939499998	162654.793000002	83064.4039999995	76726.5215000001
75	199085.807	145080.261999999	69625.2425	121523.1175	168478.095500004	118906.535	160407.330499999	106737.87	159806.419500001	179882.0415	0	75902.6750000008	77262.3134999999	324358.353500001	152979.921	78129.7980000006	228992.895499999	168088.251	123594.254999999	61058.0609999994
77	52962.1729999999	83099.6595	116758.027	102724.093	54475.4369999999	87486.363	153902.194	184618.106	68260.7460000002	112208.5875	54161.3039999998	114049.4635	118188.2215	105369.9515	26379.467	94530.667	85762.921	99409.336	110085.932	103831.5685
78	54165.6479999988	57304.3799999965	84008.549000001	0	110775.914500002	114428.350500001	55234.2480000012	84022.024499999	110446.533500001	113938.397	69367.1624999979	60579.9525000007	91544.4440000009	169832.052000001	86431.2255000003	156327.283500001	94477.4825000002	209200.9695	221280.6715	81462.9990000007
79	101944.958999999	196172.325999999	126863.549499999	96491.6219999998	17533.2425	249076.8755	155325.935000001	88644.4739999998	125015.470999998	97167.6500000009	151530.155	99782.1604999994	193453.092	61157.828500001	396787.643499999	98482.3234999998	129470.010500001	124835.173500001	130876.648500002	129242.165000001
80	163625.095	0	149827.4985	148837.366500001	7662.60949999998	145260.5415	177028.3345	190418.635	146676.376	151984.375	153029.086	133638.0985	136464.301	151688.254	145413.8035	135800.4945	169762.6595	148226.696000001	138760.111	151594.318000001
81	24526.3479999999	170991.631000001	42507.0750000007	112743.8195	52205.5224999999	44473.0959999995	43745.9799999997	18858.528	2588.19650000004	33337.9584999996	35078.3929999999	51854.1955000004	221386.666	2200.49249999997	48080.8085000002	79563.6829999994	221581.469000001	2982.16949999999	34287.5984999997	62861.5964999999
83	69230.2125000018	50978.3489999969	57851.1349999995	59271.3674999995	139196.714500002	100182.0305	86610.1240000001	184591.127499999	95117.7104999996	103882.021999999	116425.297499999	101255.313000001	102021.231000001	325206.5745	303111.2385	124928.3995	194820.266000001	58091.5499999997	226703.6	215153.53
84	419574.057	180097.587499999	390983.601500001	140521.6585	92320.3515000005	400579.418000001	322457.1195	60227.6154999998	688230.369999999	419012.275	187681.912499998	386597.0545	385307.413999999	386084.82	411540.940499999	354807.6185	422501.3375	404314.729499999	410505.664000001	364530.329
85	143725.832000001	502990.381500001	116020.963000002	86660.8550000012	40168.9049999999	85599.9900000002	111228.611999999	82589.6109999996	87296.8379999983	126045.5535	56603.7830000005	92536.0304999994	149587.478	84440.3384999987	170798.326	58495.3880000005	216000.257	121763.642500001	91412.9779999992	85385.942
86	126095.386	0	128985.076999999	208232.302999998	248112.386	188637.773499999	119729.418	120121.650499999	97184.9879999998	166217.653000001	60354.553	66631.3379999996	65954.929999999	193941.418999999	122066.983499999	157292.2145	187060.718500001	162521.648500001	66294.4404999996	123873.283500001
87	144475.032500003	115163.177500001	231108.284500001	0	108658.624499999	71430.4529999999	0	230612.548499999	71524.8999999984	325484.022	246691.7845	112842.267000001	144381.111000001	104901.697	123137.166500001	182825.254999999	72980.9205000014	68810.401499999	289597.5415	169800.895000001
92	86829.6984999995	207666.664500002	179238.621999999	113418.685999999	224948.801999999	112744.09	358467.669500001	143136.4905	175876.347500001	59409.7485	114431.4	58326.8714999989	119935.721	116363.9505	58453.4774999989	54390.0079999997	139136.712499999	86965.9474999999	59121.8625000012	58001.2164999998
93	53214.9874999988	350648.080500001	149845.0935	47775.482000001	253703.411999999	141989.076	105255.8585	53891.4669999996	166868.335000001	57451.0820000008	77541.4930000011	109242.441500001	48218.1079999994	52396.2674999996	126566.128999999	86857.469	188622.612	53364.0770000012	85011.6889999994	54453.6445000001
94	235063.1605	203772.097000001	154235.506500001	0	88801.1465000006	84671.6754999998	63200.1154999995	385775.317000003	129213.0015	138637.521999999	125147.963999999	145826.5715	76312.3889999995	45233.2159999999	85750.6399999998	341547.284999999	184028.883	121989.0125	164264.3045	64460.0349999992
95	111461.3555	214082.139500002	81330.1869999991	81263.9639999998	8615.01949999991	55508.6619999989	106644.122	53540.5560000005	52467.4124999996	110319.147	78288.8860000001	134679.3845	27221.9324999998	110710.721	54427.2470000003	106121.263000001	115484.657000001	79888.0519999998	83825.3805000008	55251.1579999998
97	124193.654999999	123208.743	98927.5514999999	49486.5964999998	77130.824000002	98470.3505000008	48542.0330000005	48331.0520000004	200739.288	75683.3600000008	72609.7449999994	136493.3735	129102.950000001	128524.125	46036.7114999997	52149.404499999	52442.4565000001	97245.5809999999	24974.3790000012	57311.2630000001
98	10231.51	83169.1540000007	43097.2329999998	38061.8484999999	8536.16499999986	79333.6064999999	43336.647	11539.6485	0	13057.1985	7714.98000000016	54576.4119999993	145968.673499999	2510.65499999999	59100.0265000003	11456.6024999999	153563.910500001	4453.83099999998	18093.6624999999	13103.0810000003
100	178463.614	316222.639	101980.7925	49622.8750000013	375261.2115	300189.9725	107122.7355	101029.989500001	81927.839500001	260182.978	96819.350000001	56560.2800000011	320617.86	82101.5099999994	124654.511000001	52572.9240000013	53586.7754999999	54619.1890000012	83273.9964999997	134884.305499999
101	87025.6035000004	80907.0775000023	78646.7879999997	57465.6389999993	527155.419000002	88205.6040000002	155529.467999999	75444.664999999	119170.877499998	92313.4114999997	46293.953	58081.3865000006	59974.8269999999	109066.317999999	152022.1585	119923.543499998	48992.7764999992	79839.2774999991	232468.66	104313.100000001
102	49338.7090000007	37293.5849999999	73301.0439999998	46236.4594999998	71279.1104999995	74229.1520000014	47510.909999999	70237.6719999992	51528.4410000011	55347.45	95555.4784999996	79901.3925000005	101662.8035	75869.1759999998	123938.8435	130867.010499999	103516.075	202459.797499999	56018.8529999993	70092.0529999999
103	103290.160999999	35929.6949999992	72129.2615	73610.3700000011	164283.545500001	53099.7194999995	125968.170000001	118965.084000001	51777.5765000005	49084.286999999	72279.530500001	54287.6259999995	71050.3470000004	77428.5099999994	52226.3879999994	50193.9124999991	102976.292999999	68315.2839999992	100769.745499999	106371.710499999
104	106142.213	588083.911000001	111024.596	103092.789	580890.684499998	95933.9725000001	106874.583	141213.78	116513.7955	99564.0795	98844.3200000003	117529.077	110607.124	90336.4595000001	99004.8575000001	104912.11	115716.711	105451.865500001	118976.845	111844.455500001
105	46649.7605000006	91272.545999999	0	47393.1404999995	133448.755999999	167229.755	48868.7559999989	68725.5350000001	98956.8274999988	73338.8450000007	93215.4955000005	77890.1834999996	73782.2294999996	97210.3604999996	74258.9895000001	71449.671999999	48654.8795000009	45644.919	48834.6664999995	47735.0415000004
106	5414.75150000017	295.573000000002	14497.361	13772.3089999999	30596.3150000002	9931.57299999994	2096.62099999998	5250.74200000001	5105.49899999998	87388.8725	9554.25999999997	9373.40699999996	14340.8000000002	83810.7199999993	503.019499999995	12010.6784999999	0	25192.6105	5548.8075	21197.5715
107	92586.1459999989	565833.579500002	253316.273499999	24387.6599999999	252241.551499998	116503.4115	24990.3199999998	340866.396000001	48810.6240000006	120003.190000001	24174.3914999995	240847.066000001	47384.5199999994	186580.930000001	179029.348	145369.361	216803.8545	24968.6354999994	145737.698499999	294075.786500001
