row ID	s47_repeat_BB5_01_51298.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
1	4405023.085	3342413.2565	3944527.6135	4661618.289	5275151.0955	4997681.7065	4758573.247	4466977.613	4419849.337	3865451.748	4272390.338	4140432.5905	4196569.7435	7972110.582	4653864.2425	3441207.218	4680577.5875	4264384.678	6085863.4905	5579469.132
2	239.002	341.223999999999	0	371.318	283.547	0	20505.0725	1792.131	4913.79650000001	1481959.169	1929.8845	252.959999999999	0	0	2064003.39649999	0	321.047999999999	2473.82900000001	192.634999999998	211.108500000001
3	1424794.977	1079828.8585	1219300.7775	1501024.5905	1616209.952	1393945.374	1502247.703	1372856.3195	1218542.207	1446860.083	1283220.532	1186100.7765	1102394.9995	2610363.988	1469928.8235	1001182.853	1812117.422	1529258.7575	1777827.2745	1749221.8865
4	1028412.501	1089479.39150001	953779.254500001	1102394.2855	1150680.77100001	1112454.67450001	1135774.98350001	959335.173500001	1099836.51450002	952231.920499983	1154692.46100001	965327.190499998	1049599.828	1044863.86600001	1015240.41649999	1101297.863	1082884.50650001	1117546.50949999	1046144.06499999	1041383.81650001
5	2198080.412	1069923.4365	1608401.7435	1589112.33	1951272.236	1497041.871	1855462.789	310162.797000001	1664945.8805	1359142.7315	1641776.2145	1273849.59	1334920.4405	1776635.3615	1617967.2035	882004.803999999	1989669.087	1813680.308	1889777.511	1732521.373
6	1719310.6405	681852.945999999	982171.592500002	953048.036	1315061.857	1044848.578	1227950.911	211486.348500001	996176.314499998	773364.894	1017242.884	706211.675999998	855342.947000003	1353869.2275	1248911.811	551685.206500002	1324930.9205	1149001.059	1198425.763	1042140.3395
7	43528.9935	202881.782	456728.738	571896.838	422436.548	334279.959	426741.327	383452.56	420490.8405	443751.9035	355354.8035	512449.0295	347272.3895	279182.8485	247466.908	172030.8885	641178.6225	579319.619	350119.417	412935.5505
8	3062.81349999994	0	32538.2160000002	0	33179.6690000001	52198.8665000002	0	35424.2555	13871.9050000001	885417.194500002	16326.7400000002	25853.5175000001	6949.19100000008	2199.74750000002	2786.10800000001	28781.6849999999	89989.0740000002	1830.24000000001	1442.95200000001	11858.2605
11	0	0	1444475.606	0	1556105.03599999	274013.305499998	1504939.0935	349438.394500008	1439849.8795	1149525.36599999	1518022.73549999	1175367.6615	0	1450965.5955	0	0	1556426.00649999	0	1149968.438	359453.692499995
13	1345294.026	1472525.9425	0	1547816.5635	274457.067500002	1537011.04449999	0	1245040.1085	1548126.1215	355913.874000012	1608158.2355	384291.562499996	1610299.139	248741.559499998	1392016.41549999	1627340.019	0	1481951.656	387267.329500005	1495814.169
