rowID	pval	padj	comparison	ATTRIBUTE_blood_origin
5	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
6	1.1444091796875e-05	0.000400543212890625	pre_vs_post	peripheral
18	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
20	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
72	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
77	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
116	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
122	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
129	3.814697265625e-06	0.000378290812174479	pre_vs_post	peripheral
130	1.9073486328125e-05	0.000630484686957465	pre_vs_post	peripheral
335	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
336	1.1444091796875e-05	0.000400543212890625	pre_vs_post	peripheral
352	0.000653585176323472	0.0185182466624984	pre_vs_post	peripheral
377	0.00229967858441496	0.0594916851185609	pre_vs_post	peripheral
382	0.00248663556624239	0.0616478400797592	pre_vs_post	peripheral
514	1.1444091796875e-05	0.000400543212890625	pre_vs_post	peripheral
515	0.000644683837890625	0.0185182466624984	pre_vs_post	peripheral
630	1.1444091796875e-05	0.000400543212890625	pre_vs_post	peripheral
633	0.000920809429065008	0.0249037095588036	pre_vs_post	peripheral
634	3.814697265625e-06	0.000378290812174479	pre_vs_post	peripheral
636	0.000253963219441523	0.00795305871408979	pre_vs_post	peripheral
639	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
649	1.1444091796875e-05	0.000400543212890625	pre_vs_post	peripheral
654	7.62939453125e-06	0.000378290812174479	pre_vs_post	peripheral
5	0.00104522705078125	0.0691011216905382	pre_vs_post	hepatic
6	0.00157928466796875	0.0783061981201172	pre_vs_post	hepatic
18	7.62939453125e-05	0.0226974487304688	pre_vs_post	hepatic
20	0.00019073486328125	0.0283718109130859	pre_vs_post	hepatic
77	0.00067138671875	0.0663351649187724	pre_vs_post	hepatic
116	0.00128936767578125	0.0767173767089844	pre_vs_post	hepatic
122	0.00014495849609375	0.0283718109130859	pre_vs_post	hepatic
130	3.814697265625e-05	0.0226974487304688	pre_vs_post	hepatic
335	0.0008392333984375	0.0663351649187724	pre_vs_post	hepatic
514	0.0005340576171875	0.0635528564453125	pre_vs_post	hepatic
633	0.000891901377059125	0.0663351649187724	pre_vs_post	hepatic
664	0.00157928466796875	0.0783061981201172	pre_vs_post	hepatic
