label_name	ATTRIBUTE_blood_procedure	ATTRIBUTE_blood_origin	stars	mn_log_counts
mtb  116  m/z 797.844695239874	post	hepatic	.	4.75417524417443
mtb  116  m/z 797.844695239874	post	peripheral	***	4.75994440129639
mtb  116  m/z 797.844695239874	pre	hepatic	NA	4.11789013864477
mtb  116  m/z 797.844695239874	pre	peripheral	NA	0.731944519435342
mtb  122  m/z 802.822607544113	post	hepatic	*	4.87849109400202
mtb  122  m/z 802.822607544113	post	peripheral	***	4.8854166920184
mtb  122  m/z 802.822607544113	pre	hepatic	NA	4.33042560131369
mtb  122  m/z 802.822607544113	pre	peripheral	NA	1.08903205310621
mtb  129  m/z 797.844706581007	post	hepatic	NA	4.79365672990692
mtb  129  m/z 797.844706581007	post	peripheral	***	4.86707226647584
mtb  129  m/z 797.844706581007	pre	hepatic	NA	4.35620149685897
mtb  129  m/z 797.844706581007	pre	peripheral	NA	0.748257031827388
mtb  130  m/z 802.822745150341	post	hepatic	*	4.69079413946353
mtb  130  m/z 802.822745150341	post	peripheral	***	4.63895014731425
mtb  130  m/z 802.822745150341	pre	hepatic	NA	4.13475740951544
mtb  130  m/z 802.822745150341	pre	peripheral	NA	0.93599616156255
mtb  18  m/z 794.836646128368	post	hepatic	*	5.84204915762849
mtb  18  m/z 794.836646128368	post	peripheral	***	5.8499743892229
mtb  18  m/z 794.836646128368	pre	hepatic	NA	5.18214133974821
mtb  18  m/z 794.836646128368	pre	peripheral	NA	1.71208182452226
mtb  20  m/z 794.836705613577	post	hepatic	*	5.60818783653878
mtb  20  m/z 794.836705613577	post	peripheral	***	5.59887830076036
mtb  20  m/z 794.836705613577	pre	hepatic	NA	4.84736669905148
mtb  20  m/z 794.836705613577	pre	peripheral	NA	1.23325031539495
mtb  335  m/z 1046.79766558168	post	hepatic	.	4.46508558482305
mtb  335  m/z 1046.79766558168	post	peripheral	***	4.48261581346258
mtb  335  m/z 1046.79766558168	pre	hepatic	NA	3.7608604979767
mtb  335  m/z 1046.79766558168	pre	peripheral	NA	0.778943930523814
mtb  336  m/z 1046.79755780339	post	hepatic	NA	4.15062096117245
mtb  336  m/z 1046.79755780339	post	peripheral	***	4.15532643437636
mtb  336  m/z 1046.79755780339	pre	hepatic	NA	3.43854166973924
mtb  336  m/z 1046.79755780339	pre	peripheral	NA	0.974981458077047
mtb  352  m/z 526.160546508929	post	hepatic	NA	4.04329561819896
mtb  352  m/z 526.160546508929	post	peripheral	*	3.94571079515404
mtb  352  m/z 526.160546508929	pre	hepatic	NA	3.71894590007288
mtb  352  m/z 526.160546508929	pre	peripheral	NA	2.07729880245292
mtb  377  m/z 1034.4445954961	post	hepatic	NA	3.16752690254632
mtb  377  m/z 1034.4445954961	post	peripheral	.	3.37945056312807
mtb  377  m/z 1034.4445954961	pre	hepatic	NA	2.1775785232364
mtb  377  m/z 1034.4445954961	pre	peripheral	NA	1.07154989671976
mtb  382  m/z 613.305711549092	post	hepatic	NA	3.71640727856704
mtb  382  m/z 613.305711549092	post	peripheral	.	3.61659177740967
mtb  382  m/z 613.305711549092	pre	hepatic	NA	2.37961671405003
mtb  382  m/z 613.305711549092	pre	peripheral	NA	1.41572541232706
mtb  5  m/z 775.86323869038	post	hepatic	.	6.24085405239543
mtb  5  m/z 775.86323869038	post	peripheral	***	6.1640784220169
mtb  5  m/z 775.86323869038	pre	hepatic	NA	5.60504541756546
mtb  5  m/z 775.86323869038	pre	peripheral	NA	1.89608529809436
mtb  514  m/z 1177.29883038721	post	hepatic	.	4.44997424652635
mtb  514  m/z 1177.29883038721	post	peripheral	***	4.29361822751597
mtb  514  m/z 1177.29883038721	pre	hepatic	NA	3.5446095575995
mtb  514  m/z 1177.29883038721	pre	peripheral	NA	0.644573634751203
mtb  6  m/z 775.863237283351	post	hepatic	.	6.03426025346594
mtb  6  m/z 775.863237283351	post	peripheral	***	5.97584459382398
mtb  6  m/z 775.863237283351	pre	hepatic	NA	5.37951131039217
mtb  6  m/z 775.863237283351	pre	peripheral	NA	1.23727331951631
mtb  630  m/z 1424.82384355901	post	hepatic	NA	3.92180804871634
mtb  630  m/z 1424.82384355901	post	peripheral	***	3.89865823202426
mtb  630  m/z 1424.82384355901	pre	hepatic	NA	3.3812509613926
mtb  630  m/z 1424.82384355901	pre	peripheral	NA	0.492039743759775
mtb  633  m/z 716.208443105456	post	hepatic	.	3.22085266108466
mtb  633  m/z 716.208443105456	post	peripheral	*	3.1126961413692
mtb  633  m/z 716.208443105456	pre	hepatic	NA	2.72378651360919
mtb  633  m/z 716.208443105456	pre	peripheral	NA	1.17440453693386
mtb  634  m/z 1424.82345155404	post	hepatic	NA	3.8748277737536
mtb  634  m/z 1424.82345155404	post	peripheral	***	3.75758785789948
mtb  634  m/z 1424.82345155404	pre	hepatic	NA	3.26831737037194
mtb  634  m/z 1424.82345155404	pre	peripheral	NA	0.505252626518476
mtb  636  m/z 772.417103281985	post	hepatic	NA	3.9219167679978
mtb  636  m/z 772.417103281985	post	peripheral	**	3.8434932074559
mtb  636  m/z 772.417103281985	pre	hepatic	NA	3.41638815670816
mtb  636  m/z 772.417103281985	pre	peripheral	NA	0.308921872100269
mtb  639  m/z 1424.82342466952	post	hepatic	NA	3.65027701224777
mtb  639  m/z 1424.82342466952	post	peripheral	***	3.57443634268574
mtb  639  m/z 1424.82342466952	pre	hepatic	NA	3.25744679962066
mtb  639  m/z 1424.82342466952	pre	peripheral	NA	0.300468661495823
mtb  649  m/z 772.416998089255	post	hepatic	NA	3.60949892987202
mtb  649  m/z 772.416998089255	post	peripheral	***	3.61674705336765
mtb  649  m/z 772.416998089255	pre	hepatic	NA	2.99043895096515
mtb  649  m/z 772.416998089255	pre	peripheral	NA	0.295954814351482
mtb  654  m/z 791.390665374488	post	hepatic	NA	3.22893958164353
mtb  654  m/z 791.390665374488	post	peripheral	***	3.59766510253695
mtb  654  m/z 791.390665374488	pre	hepatic	NA	2.89491073631045
mtb  654  m/z 791.390665374488	pre	peripheral	NA	0.170786489051819
mtb  664  m/z 369.18862519246	post	hepatic	.	5.28272992427965
mtb  664  m/z 369.18862519246	post	peripheral	NA	5.1077750405905
mtb  664  m/z 369.18862519246	pre	hepatic	NA	5.09930582455083
mtb  664  m/z 369.18862519246	pre	peripheral	NA	5.28284374512549
mtb  72  m/z 786.85377224872	post	hepatic	NA	5.11065134195609
mtb  72  m/z 786.85377224872	post	peripheral	***	5.14664517472477
mtb  72  m/z 786.85377224872	pre	hepatic	NA	4.4588601194261
