FeatureID	Log_Ratio_Classification
231	Denominator
181	Denominator
176	Denominator
731	Denominator
730	Denominator
177	Denominator
661	Denominator
623	Denominator
211	Denominator
229	Numerator
535	Denominator
515	Denominator
340	Numerator
214	Denominator
518	Denominator
642	Numerator
274	Numerator
194	Numerator
534	Numerator
526	Numerator
382	Numerator
533	Numerator
528	Numerator
527	Numerator
516	Numerator
733	Numerator
219	Numerator
601	Denominator
530	Numerator
525	Numerator
532	Numerator
529	Numerator
736	Numerator
137	Numerator
749	Numerator
732	Numerator
626	Denominator
536	Numerator
522	Numerator
531	Numerator
738	Denominator
94	Numerator
640	Numerator
250	Numerator
604	Denominator
