row.ID,.y.,p,p.adj,p.format,p.signif,method
738,log10,0.818976655089371,0.93,0.819,ns,Kruskal-Wallis
731,log10,0.290212212276097,0.7,0.290,ns,Kruskal-Wallis
730,log10,0.198606743764673,0.68,0.199,ns,Kruskal-Wallis
661,log10,0.040145774167956,0.36,0.040,*,Kruskal-Wallis
626,log10,0.594136822255898,0.88,0.594,ns,Kruskal-Wallis
623,log10,0.295002057862991,0.7,0.295,ns,Kruskal-Wallis
604,log10,0.974842921416219,0.97,0.975,ns,Kruskal-Wallis
601,log10,0.746360534148613,0.93,0.746,ns,Kruskal-Wallis
535,log10,0.781401117164084,0.93,0.781,ns,Kruskal-Wallis
518,log10,0.429975321303559,0.77,0.430,ns,Kruskal-Wallis
515,log10,0.45308901728017,0.77,0.453,ns,Kruskal-Wallis
231,log10,0.115958395751446,0.49,0.116,ns,Kruskal-Wallis
214,log10,0.916982705597195,0.97,0.917,ns,Kruskal-Wallis
211,log10,0.623961465412217,0.88,0.624,ns,Kruskal-Wallis
181,log10,0.0421438435092765,0.36,0.042,*,Kruskal-Wallis
177,log10,0.331605415706069,0.7,0.332,ns,Kruskal-Wallis
176,log10,0.0944876903053983,0.49,0.094,ns,Kruskal-Wallis
