row.ID,.y.,p,p.adj,p.format,p.signif,method
738,log10,0.945379183693037,0.99,0.945,ns,Kruskal-Wallis
731,log10,0.0929670449427757,0.32,0.093,ns,Kruskal-Wallis
730,log10,0.335238241185349,0.57,0.335,ns,Kruskal-Wallis
661,log10,0.147980175719453,0.38,0.148,ns,Kruskal-Wallis
626,log10,0.45651807539323,0.71,0.457,ns,Kruskal-Wallis
623,log10,0.943068877243685,0.99,0.943,ns,Kruskal-Wallis
604,log10,0.287243823178715,0.54,0.287,ns,Kruskal-Wallis
601,log10,0.981800304769821,0.99,0.982,ns,Kruskal-Wallis
535,log10,0.0542950619966953,0.23,0.054,ns,Kruskal-Wallis
518,log10,0.750934732839696,0.98,0.751,ns,Kruskal-Wallis
515,log10,0.991450840690122,0.99,0.991,ns,Kruskal-Wallis
231,log10,0.0107991485938812,0.12,0.011,*,Kruskal-Wallis
214,log10,0.16864005927657,0.38,0.169,ns,Kruskal-Wallis
211,log10,0.679964773578894,0.96,0.680,ns,Kruskal-Wallis
181,log10,0.0145698903296039,0.12,0.015,*,Kruskal-Wallis
177,log10,0.176544259241411,0.38,0.177,ns,Kruskal-Wallis
176,log10,0.0226990810202826,0.13,0.023,*,Kruskal-Wallis
