componentindex,.y.,p,p.adj,p.format,p.signif,method,p.adj.signif
5,log10_dpeak,9.06970876228969e-05,0.0056,9.1e-05,****,Kruskal-Wallis,**
116,log10_dpeak,0.967974738222922,1,0.9680,ns,Kruskal-Wallis,ns
50,log10_dpeak,0.38258932776186,1,0.3826,ns,Kruskal-Wallis,ns
39,log10_dpeak,0.167812178533489,1,0.1678,ns,Kruskal-Wallis,ns
15,log10_dpeak,0.0078152568607072,0.45,0.0078,**,Kruskal-Wallis,ns
1,log10_dpeak,0.00948860955713745,0.53,0.0095,**,Kruskal-Wallis,ns
4,log10_dpeak,0.00118056160178393,0.072,0.0012,**,Kruskal-Wallis,ns
42,log10_dpeak,0.696966743425739,1,0.6970,ns,Kruskal-Wallis,ns
68,log10_dpeak,0.00317986488165362,0.19,0.0032,**,Kruskal-Wallis,ns
14,log10_dpeak,0.818874292295714,1,0.8189,ns,Kruskal-Wallis,ns
6,log10_dpeak,0.393420233535478,1,0.3934,ns,Kruskal-Wallis,ns
22,log10_dpeak,0.272097525035928,1,0.2721,ns,Kruskal-Wallis,ns
77,log10_dpeak,0.686919436831253,1,0.6869,ns,Kruskal-Wallis,ns
19,log10_dpeak,4.65791769367374e-05,0.003,4.7e-05,****,Kruskal-Wallis,**
63,log10_dpeak,0.576874270083514,1,0.5769,ns,Kruskal-Wallis,ns
2,log10_dpeak,0.115175238640439,1,0.1152,ns,Kruskal-Wallis,ns
27,log10_dpeak,0.281860955491294,1,0.2819,ns,Kruskal-Wallis,ns
56,log10_dpeak,0.977726381560072,1,0.9777,ns,Kruskal-Wallis,ns
57,log10_dpeak,0.475015885050111,1,0.4750,ns,Kruskal-Wallis,ns
17,log10_dpeak,0.576808418441382,1,0.5768,ns,Kruskal-Wallis,ns
38,log10_dpeak,0.78559581118794,1,0.7856,ns,Kruskal-Wallis,ns
115,log10_dpeak,0.865221470319869,1,0.8652,ns,Kruskal-Wallis,ns
29,log10_dpeak,0.31725602237203,1,0.3173,ns,Kruskal-Wallis,ns
3,log10_dpeak,0.036897394731057,1,0.0369,*,Kruskal-Wallis,ns
35,log10_dpeak,0.340986210132949,1,0.3410,ns,Kruskal-Wallis,ns
54,log10_dpeak,0.431494831583057,1,0.4315,ns,Kruskal-Wallis,ns
59,log10_dpeak,0.503933829446805,1,0.5039,ns,Kruskal-Wallis,ns
25,log10_dpeak,0.00289276103826216,0.17,0.0029,**,Kruskal-Wallis,ns
12,log10_dpeak,0.887148604277616,1,0.8871,ns,Kruskal-Wallis,ns
8,log10_dpeak,5.09394396136591e-05,0.0032,5.1e-05,****,Kruskal-Wallis,**
41,log10_dpeak,0.246811391986144,1,0.2468,ns,Kruskal-Wallis,ns
107,log10_dpeak,0.359461518905071,1,0.3595,ns,Kruskal-Wallis,ns
32,log10_dpeak,0.977485540616314,1,0.9775,ns,Kruskal-Wallis,ns
79,log10_dpeak,0.74013259535291,1,0.7401,ns,Kruskal-Wallis,ns
78,log10_dpeak,0.741067696422986,1,0.7411,ns,Kruskal-Wallis,ns
53,log10_dpeak,0.207207066815593,1,0.2072,ns,Kruskal-Wallis,ns
11,log10_dpeak,0.253726973772701,1,0.2537,ns,Kruskal-Wallis,ns
75,log10_dpeak,0.0444712050485096,1,0.0445,*,Kruskal-Wallis,ns
89,log10_dpeak,0.0464818347293883,1,0.0465,*,Kruskal-Wallis,ns
18,log10_dpeak,0.378715138116817,1,0.3787,ns,Kruskal-Wallis,ns
20,log10_dpeak,0.37031709807365,1,0.3703,ns,Kruskal-Wallis,ns
21,log10_dpeak,0.460125634752259,1,0.4601,ns,Kruskal-Wallis,ns
71,log10_dpeak,0.738161513043722,1,0.7382,ns,Kruskal-Wallis,ns
16,log10_dpeak,0.630476459018196,1,0.6305,ns,Kruskal-Wallis,ns
66,log10_dpeak,0.501982917281477,1,0.5020,ns,Kruskal-Wallis,ns
76,log10_dpeak,0.0717721142519604,1,0.0718,ns,Kruskal-Wallis,ns
88,log10_dpeak,0.131594766643537,1,0.1316,ns,Kruskal-Wallis,ns
7,log10_dpeak,0.348441969920041,1,0.3484,ns,Kruskal-Wallis,ns
61,log10_dpeak,0.0441242506748594,1,0.0441,*,Kruskal-Wallis,ns
49,log10_dpeak,0.93424789102931,1,0.9342,ns,Kruskal-Wallis,ns
85,log10_dpeak,0.0797264280415575,1,0.0797,ns,Kruskal-Wallis,ns
47,log10_dpeak,0.214014088802357,1,0.2140,ns,Kruskal-Wallis,ns
112,log10_dpeak,0.815087572927302,1,0.8151,ns,Kruskal-Wallis,ns
51,log10_dpeak,0.975285505178771,1,0.9753,ns,Kruskal-Wallis,ns
9,log10_dpeak,0.758128864462513,1,0.7581,ns,Kruskal-Wallis,ns
94,log10_dpeak,0.634476547329197,1,0.6345,ns,Kruskal-Wallis,ns
31,log10_dpeak,0.344839453796954,1,0.3448,ns,Kruskal-Wallis,ns
13,log10_dpeak,0.427051420259259,1,0.4271,ns,Kruskal-Wallis,ns
10,log10_dpeak,0.00923564629388189,0.53,0.0092,**,Kruskal-Wallis,ns
23,log10_dpeak,0.923265221475147,1,0.9233,ns,Kruskal-Wallis,ns
99,log10_dpeak,0.93934672811815,1,0.9393,ns,Kruskal-Wallis,ns
87,log10_dpeak,0.770603919624963,1,0.7706,ns,Kruskal-Wallis,ns
58,log10_dpeak,0.131345009093338,1,0.1313,ns,Kruskal-Wallis,ns
74,log10_dpeak,0.482803687225473,1,0.4828,ns,Kruskal-Wallis,ns
